Wall time,Step,Value
1623464240.2136195,5,-395.0
1623464655.5800664,18,-282.0
1623464790.854591,24,-213.0
1623465443.5151877,40,-235.0
1623465478.4022322,42,-335.0
1623465574.8529174,45,-325.0
1623465749.765572,47,-319.0
1623465833.5706866,53,-223.0
1623466034.6991599,56,-262.0
1623466485.2097647,71,-229.0
1623466607.8549554,74,-61.0
1623466753.8461123,79,-119.0
1623467013.5199437,87,-55.0
1623467246.6815453,94,-357.0
1623467504.0710735,102,-167.0
1623467557.6005955,105,18.0
1623467577.3537812,106,-239.0
1623467832.7189147,113,-281.0
1623467935.2207165,118,-112.0
1623468190.4709857,126,-334.0
1623468613.174853,139,-143.0
1623468934.6493127,150,93.0
1623469053.2034104,155,-29.0
1623469210.8307285,158,-30.0
1623469427.9990711,167,-212.0
1623469475.8248708,168,56.0
1623469757.3014357,178,-76.0
1623469873.6894846,183,44.0
1623469925.420623,185,-69.0
1623469951.2844799,186,13.0
1623470085.0081477,190,-162.0
1623470325.559434,198,-345.0
1623470520.9960825,206,-8.0
1623470535.6979392,207,-62.0
1623470699.1565654,212,-23.0
1623470995.9494343,223,-9.0
1623471120.860033,229,-151.0
1623471272.2574444,234,-9.0
1623471329.0275645,237,-82.0
1623471666.429662,249,79.0
1623471844.8158033,255,-125.0
1623471981.0166774,260,100.0
1623472054.2000167,263,196.0
1623472153.954396,267,41.0
1623472262.132097,271,61.0
1623472330.5984986,273,-298.0
1623472786.3094273,292,39.0
1623472940.9793744,297,106.0
1623472957.2283993,298,-46.0
1623473047.8287864,303,288.0
1623473218.8658235,308,21.0
1623473250.9663846,310,267.0
1623473482.2084906,318,183.0
1623473495.2974272,319,-76.0
1623473666.0691178,326,79.0
1623473771.1213682,330,29.0
1623473981.241518,339,197.0
1623474218.735181,347,293.0
1623474690.0925899,363,-15.0
1623474787.6875136,367,57.0
1623474972.581718,373,98.5
1623475068.2541468,377,-66.0
1623475133.7569978,379,-51.0
1623475478.8693776,392,111.0
1623476284.1255395,421,130.0
1623476308.3756058,422,151.0
1623476341.269858,424,-109.0
1623476532.5049562,430,251.0
1623476775.65695,439,116.0
1623476812.6672692,441,44.0
1623476836.67377,442,276.0
1623476920.0356631,445,244.0
