Wall time,Step,Value
1623464240.2138345,5,0.0
1623464655.5802915,18,0.0
1623464790.8547506,24,0.0
1623465443.5154324,40,0.0
1623465478.4023623,42,0.0
1623465574.8531601,45,0.0
1623465749.766552,47,0.0
1623465833.5708616,53,0.0
1623466034.699597,56,0.0
1623466485.2099025,71,0.0
1623466607.855132,74,0.0
1623466753.8463247,79,0.0
1623467013.5202017,87,0.0
1623467246.6817784,94,0.0
1623467504.0714335,102,0.0
1623467557.6008396,105,1.0
1623467577.3540218,106,0.0
1623467832.7190588,113,0.0
1623467935.2208972,118,0.0
1623468190.471176,126,0.0
1623468613.1750784,139,0.0
1623468934.6494586,150,1.0
1623469053.2036157,155,0.0
1623469210.8308623,158,0.0
1623469427.9992821,167,0.0
1623469475.8251321,168,1.0
1623469757.301685,178,0.0
1623469873.6896791,183,1.0
1623469925.4208388,185,0.0
1623469951.2846682,186,1.0
1623470085.008352,190,0.0
1623470325.5596309,198,0.0
1623470520.9962704,206,0.0
1623470535.6980953,207,0.0
1623470699.1567543,212,0.0
1623470995.949673,223,0.0
1623471120.8602042,229,0.0
1623471272.257758,234,0.0
1623471329.0278742,237,0.0
1623471666.429819,249,1.0
1623471844.8159883,255,0.0
1623471981.0168557,260,1.0
1623472054.2002811,263,1.0
1623472153.9546862,267,1.0
1623472262.1323078,271,1.0
1623472330.59872,273,0.0
1623472786.3096957,292,1.0
1623472940.9795847,297,1.0
1623472957.2286773,298,0.0
1623473047.829063,303,1.0
1623473218.8659992,308,1.0
1623473250.9665112,310,1.0
1623473482.208659,318,1.0
1623473495.2976005,319,0.0
1623473666.0694022,326,1.0
1623473771.1216445,330,1.0
1623473981.2417727,339,1.0
1623474218.735348,347,1.0
1623474690.092772,363,0.0
1623474787.6877325,367,1.0
1623474972.5819373,373,1.0
1623475068.254372,377,0.0
1623475133.757252,379,0.0
1623475478.86959,392,1.0
1623476284.125747,421,1.0
1623476308.375808,422,1.0
1623476341.2700992,424,0.0
1623476532.505101,430,1.0
1623476775.6571517,439,1.0
1623476812.667454,441,1.0
1623476836.6739805,442,1.0
1623476920.035871,445,1.0
1623477081.4146888,451,1.0
1623477323.7406213,460,0.0
1623477448.2709222,463,0.0
1623477460.2898207,464,0.0
1623477725.841767,474,1.0
1623478218.5314147,491,1.0
1623478274.3853753,493,1.0
1623478638.4076781,507,1.0
1623478755.9696796,512,1.0
1623478791.6281064,514,1.0
1623478889.985239,517,1.0
1623479068.0472713,525,1.0
1623479250.5958085,531,1.0
1623479283.7726686,533,1.0
1623479343.429164,536,1.0
1623479539.7246952,542,1.0
1623479656.8478575,547,1.0
1623479990.9192865,557,0.0
1623480144.2348025,563,1.0
1623480329.3682373,569,1.0
1623480432.4451184,573,1.0
1623480570.6719563,579,1.0
1623480651.926111,581,1.0
1623480673.655148,582,1.0
1623480711.0571163,584,1.0
1623480735.2450957,586,1.0
1623480779.7279449,587,1.0
1623480927.4728954,592,1.0
1623480965.0098233,593,1.0
1623481183.7211204,602,1.0
1623481328.485099,608,1.0
1623481366.5789576,610,1.0
1623481538.4405274,615,1.0
1623481632.9147427,620,1.0
1623481736.571129,622,1.0
1623482027.3820608,634,1.0
1623482197.6101203,641,0.0
1623482214.12955,642,1.0
1623482252.95621,644,1.0
1623482306.5755978,646,0.0
1623482327.9813755,647,1.0
1623482392.94784,649,1.0
1623482703.6789107,661,1.0
1623482774.0978954,664,1.0
1623482936.3140342,668,1.0
1623482985.5700846,671,1.0
1623483066.7977715,674,0.0
1623483176.931138,678,1.0
1623483206.4466653,679,1.0
1623483296.734637,683,1.0
1623483474.1785357,688,1.0
1623483487.5857298,689,1.0
1623483731.3922668,699,1.0
1623483826.8559198,703,1.0
1623483933.019374,706,1.0
1623484140.9260945,714,1.0
1623484246.623382,718,0.0
1623484347.052568,721,0.0
1623484359.40697,722,1.0
1623484374.7042756,723,1.0
1623484570.6879106,730,1.0
1623484675.0299854,736,1.0
1623484734.2376919,738,0.0
1623484784.767537,739,0.0
1623484875.728553,743,1.0
1623485005.866982,747,0.0
1623485087.4127455,750,1.0
1623485097.0119808,751,1.0
1623485115.8086095,752,1.0
1623485247.253753,756,1.0
1623485439.7005916,765,1.0
1623485576.7381232,769,1.0
1623485593.5665145,770,1.0
1623485613.3133826,771,1.0
1623485690.0223842,773,1.0
1623485702.2211516,774,0.0
1623485802.9181902,780,1.0
1623485927.4439485,784,1.0
1623485961.3276813,785,1.0
1623485994.863464,787,1.0
1623486020.749667,789,1.0
1623486163.638096,792,1.0
1623486189.0904026,793,1.0
1623486202.5857365,794,1.0
1623486219.9127114,795,1.0
1623486294.8108249,798,1.0
1623486408.2276208,802,1.0
1623486525.2526999,807,1.0
1623486555.992119,808,1.0
1623486627.492783,809,1.0
1623486748.0551467,815,1.0
