Wall time,Step,Value
1622733700.7442522,5,-426.0
1622733967.006075,18,-265.0
1622734114.8678656,24,-302.0
1622734557.6126695,40,-429.0
1622734610.9085307,42,-388.0
1622734681.9287977,45,-359.0
1622734739.0263987,47,-448.0
1622734856.5564854,53,-418.0
1622734928.8956037,56,-398.0
1622735300.7883792,71,-447.0
1622735356.5713615,74,-433.0
1622735823.5525835,94,-424.0
1622735996.2759707,102,-343.0
1622736079.2397199,105,-286.0
1622736095.1504717,106,-409.0
1622736291.4219108,113,-424.0
1622736576.1625307,126,-109.0
1622736894.1583395,139,-237.0
1622737166.412461,150,-446.0
1622737293.965152,155,-354.0
1622737348.3393157,158,-28.0
1622737569.6146379,167,-24.0
1622737593.9529183,168,-299.0
1622737810.1971297,178,-413.0
1622737931.5299153,183,-474.0
1622737992.0848246,185,-326.0
1622738006.0656743,186,-307.0
1622738091.990785,190,-240.0
1622738266.4783194,198,-180.0
1622738447.9734724,206,-202.0
1622738467.5052073,207,-195.0
1622738593.7087383,212,-208.0
1622738846.63396,223,-481.0
1622738967.6060302,229,-304.0
1622739086.977584,234,-240.0
1622739158.5082898,237,-397.0
1622739489.0679603,249,-227.0
1622739596.7041755,255,-413.0
1622739726.3784845,260,-273.0
1622739896.0461764,267,-156.0
1622739997.4431753,271,-50.0
1622740031.9670122,273,-312.0
1622740460.8071687,292,-345.0
1622740561.5175068,297,48.0
1622740595.8677304,298,-361.0
1622740715.1970325,303,-276.0
1622740844.9551978,308,-174.0
1622740882.3587654,310,-343.0
1622741083.2651227,318,-267.0
1622741113.7493777,319,-308.0
1622741361.0150588,330,-212.0
1622741540.78598,339,-202.0
1622741748.9187152,347,-342.0
1622742126.5397484,363,-346.0
1622742209.5593662,367,-403.0
1622742484.9656162,377,-453.0
1622743464.2400355,421,-401.0
1622743503.905883,422,-603.0
1622743664.6455576,430,-159.0
1622743879.8852987,439,-261.0
1622743930.976388,441,-163.0
1622743939.2590632,442,-330.0
1622743983.874841,445,-340.0
1622744133.457356,451,-303.0
1622744346.3869247,460,-510.0
1622744397.740027,463,-474.0
1622744421.4106221,464,-185.0
1622744641.098543,474,-336.0
1622745107.017769,491,-85.0
1622745137.870125,493,-54.0
1622745492.6530445,507,-178.5
1622745615.345857,512,-31.0
1622745701.5342042,514,-381.0
1622745747.7404537,517,-426.0
1622745947.904006,525,-76.0
1622746100.5677204,531,-515.0
1622746137.7271423,533,-217.0
1622746170.11484,536,-273.0
1622746299.482915,542,-462.0
1622746389.177185,547,-345.0
1622746608.3641553,557,-276.0
1622746773.959635,563,-362.0
1622746874.4147022,569,-56.0
1622746996.9959662,573,5.0
1622747112.7645764,579,-229.0
1622747159.8930707,581,-269.0
1622747230.0241866,584,-481.0
1622747276.9135392,586,-336.0
1622747294.5285041,587,-145.0
1622747413.7162106,592,-229.0
1622747432.6323981,593,-252.0
1622747660.7641613,602,-285.0
1622747856.3910017,610,-326.0
1622747964.812645,615,-177.0
1622748060.09557,620,-195.0
1622748106.5887125,622,-197.5
1622748408.9065545,634,-303.0
1622748595.7786493,641,10.0
1622748605.225214,642,6.0
1622748636.8011923,644,-362.0
1622748705.9638119,646,-80.0
1622748724.7166138,647,-271.0
1622748783.1598377,649,-42.5
1622749050.3692245,661,-190.0
1622749133.9633157,664,-322.0
1622749244.6862717,668,9.0
1622749315.3348444,671,-194.5
1622749395.799839,674,-138.0
1622749480.414326,678,-195.0
1622749522.402163,679,-205.0
1622749601.4607809,683,-286.0
1622749706.7992,688,-224.0
1622750004.6714425,699,-272.0
1622750150.328598,706,-460.0
1622750326.5592515,714,-372.0
1622750407.323735,718,-251.0
1622750501.7126853,721,-298.0
1622750515.7491422,722,-195.0
1622750553.966154,723,-246.0
1622750726.2611282,730,-34.0
1622750844.9753475,736,-131.0
1622750925.1242468,739,-308.0
1622750997.544466,743,-228.0
1622751071.6634142,747,-177.0
1622751183.7883549,751,-248.0
1622751197.7816405,752,-253.5
1622751340.3271508,756,-113.0
1622751571.9352078,765,-23.0
1622751646.5082,769,-192.0
1622751666.2023473,770,-99.0
1622751690.3670142,771,-128.0
1622751744.358331,773,-296.0
1622751797.8239877,774,-131.0
1622751887.1952121,780,-82.0
1622752043.0000339,784,-137.5
1622752064.6307356,785,-164.0
1622752098.3709204,787,-174.0
1622752142.432358,789,-100.0
1622752251.3358645,792,-318.0
1622752259.449609,793,-240.0
1622752270.216467,794,-8.0
1622752368.0338118,798,28.0
1622752496.1759286,802,-180.0
1622752579.5276732,807,-259.0
1622752637.3411112,808,-225.0
1622752682.67919,809,-56.0
1622753204.5447938,832,14.0
1622753354.8565166,836,66.0
1622753386.4031277,838,-308.5
1622753531.2944648,843,-144.6666717529297
1622754084.863909,867,67.0
1622754140.1434271,869,-98.5
1622754207.3730993,874,-36.0
1622754305.9724889,876,-40.0
1622754377.2603748,880,-13.0
1622754428.573707,882,-181.0
1622754614.04425,890,131.0
1622754777.9509573,896,-155.0
1622754890.575411,900,-208.0
1622755014.62972,907,80.0
1622755087.0050178,909,-77.0
1622755205.597787,915,35.0
1622755237.5518396,917,78.0
1622755308.5012496,920,70.0
1622755391.8660417,923,42.0
1622755588.7870839,931,-199.0
1622755608.1960533,932,45.0
1622755665.162209,935,88.0
1622755827.9254882,942,-87.0
1622755876.3970456,945,7.0
1622756115.0670974,954,-110.0
1622756201.7580664,958,-57.0
1622756303.9500046,961,-356.0
1622756320.6380422,962,245.0
1622756508.4086921,971,20.0
1622756540.9605374,972,40.5
1622756635.8464513,976,-246.0
1622756689.6843739,978,-103.0
1622756702.941578,979,51.0
1622756791.523805,983,28.0
1622756816.1034803,984,118.0
1622756877.2802703,987,216.0
1622756907.5320563,988,-92.0
1622757115.8548915,996,21.0
1622757201.039732,1000,103.0
1622757233.8532984,1002,-138.0
1622757300.944594,1004,-133.0
1622757309.6522503,1005,-271.0
1622757560.9529493,1014,-2.0
1622757631.4680548,1017,-204.0
1622757812.775061,1025,232.0
1622757854.416362,1027,-17.0
1622758087.0967755,1037,39.0
1622758261.794536,1044,-151.0
1622758556.2756488,1057,-96.0
1622758732.3099003,1063,-52.0
1622758777.662201,1066,-53.0
1622758835.985273,1068,-48.0
1622758913.2351046,1072,280.0
1622758988.615013,1076,-162.0
1622759057.4757342,1078,105.0
1622759160.540151,1083,197.0
1622759199.7893252,1084,107.5
1622759476.724178,1093,-12.0
1622759635.9890442,1099,162.0
1622759707.7774212,1103,-90.0
1622759748.27674,1104,34.0
1622760009.3802078,1114,258.0
1622760130.9916253,1119,-144.0
1622760456.8389084,1133,-175.0
1622760506.5763192,1135,282.0
1622760979.6568117,1155,224.0
1622761007.4402232,1156,-3.0
1622761083.337403,1160,242.0
1622761115.4510758,1161,115.0
1622761148.846016,1162,140.0
1622761526.3435717,1180,-101.0
1622761854.5685468,1192,267.0
1622761902.4876297,1193,-98.0
1622762080.778154,1199,78.0
1622762138.6366143,1201,-74.0
1622762224.7098553,1206,32.0
1622762266.9764855,1208,-233.0
1622762845.8649974,1232,350.0
1622762878.5239449,1234,221.0
1622763165.7074857,1244,43.0
1622763481.771285,1255,-12.0
1622763524.4317448,1258,-36.0
1622763584.468603,1261,-187.0
1622763914.3390584,1274,-62.0
1622764061.4820702,1281,-63.0
1622764208.1790578,1287,0.0
1622764365.8168418,1294,-126.0
1622764508.1602497,1300,174.0
1622764734.3544483,1310,201.0
1622764833.3072252,1315,71.0
1622764847.0944715,1316,194.5
1622764968.9513333,1319,44.0
1622765072.5912848,1325,64.0
1622765124.8725421,1327,278.0
1622765223.8275926,1330,67.0
1622765273.1611547,1333,143.0
1622765313.8930964,1336,-190.0
1622765331.1180189,1337,-147.0
1622765753.6354246,1355,82.0
1622766100.3639457,1370,-208.0
1622766435.2295554,1385,9.0
1622766528.3179207,1388,7.0
1622766545.777554,1389,6.0
1622766603.9953873,1391,180.0
1622766616.3824074,1392,92.0
1622767061.4407368,1413,55.0
1622767124.5578156,1414,113.0
1622767240.291923,1419,111.0
1622767305.9304416,1422,-36.0
1622767407.7683856,1426,140.0
1622767471.5942595,1428,-118.5
1622767560.1224132,1432,211.0
1622767652.69226,1436,99.0
1622767746.2894993,1440,-159.0
1622768316.4248583,1465,-43.0
1622768344.8917494,1466,301.0
1622768579.7088184,1477,146.0
1622768797.274581,1485,196.0
1622768814.7007678,1486,95.0
1622768871.3407524,1489,-106.0
1622768925.3133886,1491,335.0
1622768937.659228,1492,-19.0
1622769185.0794826,1501,19.0
1622769348.5432227,1508,-42.5
1622769731.2435439,1523,-22.0
1622769745.1188254,1524,50.5
1622769828.9527276,1527,-2.0
1622770256.1833017,1546,-178.0
1622770389.8382976,1551,-138.0
1622770412.7266526,1552,-56.0
1622770467.6279204,1554,-41.0
1622770628.9166048,1561,62.0
1622770782.4167883,1568,194.0
1622770800.21717,1569,-37.0
1622771016.4644625,1578,129.0
1622771119.0948384,1582,123.0
1622771162.5971496,1584,77.0
1622771219.9357293,1588,67.0
1622771444.3458822,1597,435.0
1622771620.2053804,1604,-58.0
1622771647.2291267,1605,96.0
1622771747.129404,1610,79.0
1622771943.467959,1618,137.0
1622772134.5715775,1627,55.0
1622772154.7144027,1628,-9.0
1622772229.0639079,1632,125.0
1622772345.959321,1637,62.0
1622772412.4759178,1640,149.0
1622772439.2984438,1642,283.0
1622772507.2435975,1645,-29.0
1622772597.6438918,1648,196.0
1622772673.3754702,1652,319.0
1622772849.0726004,1660,269.0
1622773036.310731,1668,197.0
1622773105.8563142,1672,162.0
1622773185.5077732,1675,165.0
1622773196.7814348,1676,83.0
1622773311.6897376,1682,297.0
1622773507.7766306,1691,2.0
1622773593.2158875,1695,216.0
1622773639.3790114,1696,198.0
1622773648.5089047,1697,-87.0
1622773679.0855176,1699,119.5
1622773757.9539948,1702,-90.0
1622773925.7311604,1709,171.0
1622774115.160703,1718,-84.0
1622774337.080675,1728,359.0
1622774430.677439,1732,112.0
1622774504.572841,1734,-32.0
1622774538.4805026,1737,57.0
1622774647.0685983,1742,93.0
1622774684.4194863,1743,-2.0
1622774713.0461113,1745,307.0
1622774744.7588332,1746,-70.0
1622774770.9101353,1747,43.5
1622774898.4658864,1752,257.0
1622775173.9716072,1766,129.0
1622775393.7357829,1775,231.0
1622775528.0625105,1781,123.0
1622775687.2967372,1788,61.0
1622775708.523792,1789,281.0
1622775933.7027812,1798,226.0
1622776079.9214303,1805,124.0
1622776354.5865095,1817,11.5
1622776555.1294692,1824,-413.0
1622776596.6591163,1826,-1.0
1622776688.8169763,1830,112.0
1622776920.0375452,1840,355.0
1622776941.9525979,1841,63.0
1622777028.2622302,1844,85.0
1622777151.8108754,1849,28.0
1622777240.541375,1853,123.0
1622777501.4733126,1866,27.0
1622777611.7918026,1869,111.0
1622777713.732342,1875,-4.0
1622777741.6605005,1876,167.0
1622777815.715279,1877,94.0
1622778235.604321,1893,240.5
1622778672.2734022,1911,138.0
1622778826.8194084,1917,223.0
1622778963.674991,1924,397.0
1622779090.302521,1930,227.0
1622779182.7695065,1934,152.0
1622779235.8992662,1936,79.0
1622779281.4370983,1938,33.0
1622779404.3694112,1944,8.0
1622779463.7722178,1947,32.0
1622779522.9650106,1949,376.0
1622779600.605917,1952,-127.0
1622779633.7368898,1955,-65.0
1622779704.2417223,1958,160.0
1622779910.5691614,1967,126.0
1622779959.1168878,1969,280.0
1622780206.1321723,1981,228.0
1622780229.6582723,1982,-74.0
1622780257.683934,1983,17.0
1622780547.6467085,1997,296.0
1622780635.256834,2001,305.0
1622780734.183364,2005,310.0
1622780805.374352,2009,319.0
1622780816.0796378,2010,269.0
1622780901.103934,2013,96.0
1622780927.6093836,2015,302.0
1622780961.2692802,2017,202.5
1622781178.8364882,2025,96.0
1622781238.9004529,2027,157.0
1622781308.6266475,2030,8.0
1622781359.9995823,2033,177.0
1622781430.1813211,2036,200.0
1622781483.9377382,2038,211.0
1622781535.4071422,2041,-21.0
1622781980.8075168,2060,-47.0
1622782245.1170316,2072,-245.0
1622782294.3897915,2073,17.0
1622782315.3132572,2074,132.0
1622782350.450642,2076,15.0
1622782373.0578012,2077,-256.0
1622782400.304998,2079,71.0
1622782436.3789465,2081,202.0
1622782548.0385406,2085,-54.0
1622782638.9369695,2089,273.0
1622782772.9588418,2094,322.0
1622782798.669223,2096,91.0
1622782938.8189108,2103,256.0
1622783004.0032344,2106,95.5
1622783118.191936,2111,284.5
1622783197.3839984,2115,202.0
1622783276.2281477,2120,222.0
1622783375.0766873,2122,118.0
1622783389.2605157,2123,24.0
1622783617.824851,2134,428.0
1622783718.7786937,2138,59.0
1622783786.2342844,2141,-17.0
1622783866.757239,2144,194.0
1622783883.5807931,2145,142.0
1622783972.9078672,2148,324.0
1622783988.6819198,2149,190.0
1622784015.2164142,2151,347.0
1622784141.5427272,2156,147.0
1622784150.0862522,2157,71.0
1622784315.3559759,2164,-11.0
1622784344.38135,2165,126.0
1622784393.0609639,2169,215.0
1622784448.6625938,2171,230.0
1622784492.3445272,2173,362.0
1622784586.9225922,2177,66.5
1622784797.545795,2187,-28.0
1622784830.3000255,2189,195.0
1622784924.2633984,2191,279.0
1622784936.8709965,2192,293.0
1622785043.260697,2196,314.0
1622785102.4162169,2199,109.0
1622785310.6085486,2207,52.0
1622785424.231583,2211,383.0
1622785706.6616983,2225,-220.0
1622785816.1187308,2229,190.0
1622785846.6801221,2231,65.0
1622785966.31292,2236,169.0
1622785979.57257,2237,-102.0
1622786008.0252712,2239,373.0
1622786047.8060753,2241,324.0
1622786080.4253314,2242,402.0
1622786147.552401,2244,51.0
1622786175.9102879,2246,133.0
1622786203.718278,2247,64.0
1622786365.4891555,2254,13.0
1622786458.0743403,2257,148.0
1622786571.7452466,2262,226.0
1622786983.7717483,2281,236.0
1622787200.908234,2291,159.0
1622787334.90412,2297,149.0
1622787401.4943767,2300,378.0
1622787453.5078504,2303,-14.0
1622787541.3196058,2306,145.0
1622787568.3344715,2307,270.0
1622787589.6623695,2308,116.0
1622787839.109534,2318,212.0
1622787856.6143818,2319,189.0
1622787869.7199144,2320,335.0
1622787929.895457,2322,319.0
1622788164.9578025,2334,317.0
1622788191.9444995,2335,316.0
1622788235.8484397,2337,502.0
1622788415.2021537,2345,276.0
1622788602.753892,2354,344.0
1622788963.9072678,2371,359.0
1622789238.0571072,2385,119.0
1622789327.0634837,2389,163.0
1622789364.0267162,2390,6.0
1622789397.6677947,2392,183.0
1622789608.9233303,2400,275.0
1622789629.4360363,2402,159.0
1622789730.0689015,2406,24.0
1622789964.7681255,2416,143.0
1622790116.5802872,2424,204.0
1622790132.2278469,2425,140.0
1622790360.4172966,2436,116.0
1622790514.6466358,2444,333.0
1622790639.053748,2450,-204.0
1622790657.5693204,2451,20.5
1622790742.850795,2453,180.0
1622790780.6707191,2455,284.0
1622790865.3307228,2460,-123.0
1622791281.5631652,2479,187.0
1622791404.0453963,2485,4.0
1622791418.431928,2486,35.0
1622791636.936696,2496,230.0
1622791726.016128,2498,153.0
1622791800.966155,2502,246.5
1622791814.9260998,2503,234.0
1622792073.9027464,2514,-9.0
1622792163.344327,2517,195.5
1622792341.3509867,2523,183.5
1622792439.7466414,2528,222.0
1622792486.1614838,2530,-24.0
1622792527.6747386,2532,375.0
1622792574.5837853,2534,-158.0
1622792785.3271506,2543,153.0
1622792895.3979094,2547,81.0
1622792953.8140812,2551,360.0
1622793033.4753273,2553,378.0
1622793095.3045347,2556,52.0
1622793289.7826738,2565,139.0
1622793301.5203185,2566,101.0
1622793563.8151722,2576,198.0
1622793618.8716927,2578,-72.0
1622793885.544516,2590,183.0
1622793898.688379,2591,83.0
1622793914.8688853,2592,231.0
1622793981.6950743,2596,-74.0
1622794119.6198466,2600,-134.0
1622794214.8667603,2606,357.0
1622794232.5163033,2607,-5.0
1622794324.6380343,2610,463.0
1622794580.484289,2623,23.0
1622794638.590215,2626,-175.0
1622794727.1291404,2629,423.0
1622794738.4873214,2630,221.0
1622794908.377369,2638,265.0
1622795027.8739321,2644,-134.0
1622795142.9481223,2650,186.0
1622795263.8605812,2655,165.0
1622795703.6748807,2674,81.0
1622795788.4307384,2678,286.0
1622795811.1129515,2680,74.0
1622795930.901854,2685,263.0
1622796056.2107804,2690,-162.0
1622796306.1720476,2703,244.0
1622796402.2449872,2707,386.5
1622796472.4146256,2710,338.0
1622796780.0373478,2725,297.0
1622797011.355523,2736,101.0
1622797050.7482934,2737,-11.0
1622797095.1468797,2740,331.0
1622797241.9538841,2746,172.0
1622797358.8594768,2753,139.0
1622797373.1682959,2754,-129.0
1622797437.6229794,2755,236.0
1622797463.25165,2756,152.0
1622797477.4036489,2757,236.0
1622797661.2300982,2766,199.5
1622798170.5011096,2789,366.0
1622798197.6065927,2790,248.0
1622798209.9229774,2791,298.0
1622798383.7358437,2798,242.0
1622798615.2070243,2809,152.5
1622798655.2244346,2811,202.0
1622798917.2388706,2823,226.0
1622798932.4830658,2824,44.0
1622798987.6456876,2827,124.0
1622799032.7526119,2829,160.0
1622799061.8884952,2830,281.0
1622799089.3518393,2832,208.0
1622799444.4257224,2851,-89.0
1622799561.2586815,2856,9.0
1622799620.6352348,2859,404.0
1622799681.0631742,2862,395.0
1622799872.3698094,2871,149.0
1622799903.8439045,2872,197.0
1622800098.570579,2880,154.5
1622800114.9674292,2881,208.5
1622800274.7910988,2887,390.0
1622800348.549022,2890,129.0
1622800492.7111883,2896,135.0
1622800522.6168354,2898,146.0
1622800567.7646344,2900,410.0
1622800917.3200126,2917,404.0
1622800945.3190215,2919,28.0
1622800959.1961293,2920,105.0
1622800975.1073735,2921,437.0
1622801282.7840586,2932,235.0
1622801488.9838254,2942,30.0
1622801655.2819018,2950,155.5
1622801996.870559,2967,-14.5
1622802160.8829653,2974,223.0
1622802179.5541945,2975,215.0
1622802263.7953389,2978,202.0
1622802465.2568023,2988,113.0
1622802585.5167644,2994,394.0
1622802676.320208,2998,337.0
1622802756.7230985,3003,398.0
1622802813.4549656,3005,281.0
1622802868.0739312,3007,292.0
1622802887.7184386,3009,177.0
1622802913.7002249,3011,242.0
1622803044.6401243,3015,275.0
1622803056.5935133,3016,478.0
1622803111.90527,3019,82.0
1622803253.4842176,3025,434.0
1622803286.1064258,3027,311.0
1622803335.5022795,3030,212.0
1622803521.6594756,3038,141.0
1622803597.639328,3040,222.0
1622803612.6879528,3041,77.0
1622803641.026729,3042,296.0
1622803824.5810163,3050,187.0
1622804165.9669433,3065,205.0
1622804199.7491317,3067,-28.0
1622804241.6460328,3069,255.5
1622804291.496667,3071,-1.0
1622804331.9938414,3073,197.0
1622804590.8549876,3082,317.0
1622804659.6309783,3086,439.0
1622804964.714311,3099,48.0
1622805028.4244845,3103,228.6666717529297
1622805440.9605355,3122,307.5
1622805826.4378834,3137,297.0
1622805835.2966704,3138,177.0
1622806008.021152,3144,103.0
1622806018.2359216,3145,226.0
1622806072.078662,3147,157.0
1622806134.790617,3150,239.0
1622806233.9801607,3155,-26.0
1622806326.1049132,3159,172.0
1622806386.7975469,3161,199.0
1622806726.3698378,3177,168.0
1622806839.0159926,3184,436.0
1622806940.3124144,3188,37.0
1622807100.7774246,3195,309.0
1622807137.0550175,3196,292.0
1622807287.3118613,3203,255.0
1622807340.5715442,3206,377.0
1622807842.734774,3230,154.0
1622807911.9923103,3233,225.0
1622808069.012445,3240,61.0
1622808113.2722726,3243,276.0
1622808174.0295665,3244,200.0
1622808225.7927754,3246,465.0
1622808238.8963945,3247,378.0
1622808398.0478647,3254,249.5
1622808682.883037,3267,339.0
1622808793.9623702,3272,449.0
1622808966.6931918,3281,153.0
1622809003.8794863,3283,360.0
1622809035.251919,3285,126.0
1622809201.4390492,3292,52.5
1622809502.4963925,3305,260.0
1622809550.5469363,3307,351.0
1622809691.288901,3313,494.0
1622809862.685756,3321,14.0
1622809978.9062376,3327,233.0
1622809995.097501,3328,382.0
1622810120.1292183,3333,150.0
1622810232.696658,3338,295.0
1622810392.5554848,3345,114.0
1622810598.7689564,3353,429.0
1622810688.0879807,3357,218.0
1622810760.1837149,3361,138.0
1622811036.250937,3374,135.0
1622811075.61872,3376,87.0
1622811105.2536323,3378,219.0
1622811167.6276555,3381,385.0
1622811250.8883975,3386,215.0
1622811620.6894832,3403,-29.0
1622811706.1997926,3408,230.0
1622812111.415551,3426,240.0
1622812196.65654,3430,257.0
1622812249.562279,3433,169.0
1622812359.3800187,3438,315.0
1622812531.6125512,3445,305.0
1622812597.4607365,3449,238.0
1622812642.7197065,3451,337.5
1622812820.7305663,3457,222.0
1622812848.225298,3458,278.0
1622812988.6763933,3464,145.0
1622813138.07886,3471,214.0
1622813246.4275804,3477,356.0
1622813349.3597064,3480,309.0
1622813432.652583,3486,321.0
1622813732.2198398,3497,95.66666412353516
1622813773.6766381,3499,189.0
1622813964.4638605,3509,272.0
1622814020.382208,3512,287.0
1622814089.3442237,3514,309.0
1622814154.0912466,3519,267.0
1622814519.1054006,3535,360.5
1622814556.596835,3537,166.0
1622814678.216149,3542,145.0
1622814689.2632031,3543,376.0
1622814770.4413562,3547,148.0
1622814810.0247126,3549,305.0
1622814965.7903564,3556,183.0
1622815125.8234122,3563,384.0
1622815380.0487568,3575,142.0
1622815463.3327374,3580,295.0
1622815746.5172224,3592,363.0
1622815758.592545,3593,115.0
1622815921.7894034,3599,9.0
1622815934.924481,3600,186.3333282470703
1622816218.2378154,3614,161.0
1622816328.5609488,3618,83.0
1622816370.2667403,3620,347.0
1622816400.986662,3622,319.0
1622816470.1035755,3625,74.0
1622816531.4662993,3628,108.0
1622816723.7331314,3637,490.0
1622816876.3683856,3643,263.0
1622816903.9685435,3645,186.0
1622817170.525812,3656,246.0
1622817185.2100754,3657,135.0
1622817320.6561038,3663,240.0
1622817470.6757948,3670,415.0
1622817907.4963608,3694,333.0
1622818039.7050078,3700,222.5
1622818115.0287986,3702,142.0
1622818545.0015447,3723,92.0
1622818583.5803704,3726,332.0
1622818682.316025,3730,421.0
1622818714.6231065,3731,303.0
1622818729.4054887,3732,166.0
1622818849.7498302,3738,177.0
1622818898.2811344,3741,382.0
1622818965.2132664,3743,199.0
1622819149.538976,3752,193.0
1622819267.4535434,3759,9.0
1622819391.2826524,3764,259.0
1622819533.8400598,3772,212.0
1622819623.6838918,3776,226.0
1622819710.1648443,3780,201.0
1622819971.2527266,3793,142.0
1622820010.5214434,3795,204.0
1622820096.8794127,3798,37.0
1622820358.782544,3810,217.0
1622820423.4696646,3814,110.0
1622820540.6424112,3819,207.0
1622820570.900229,3821,319.0
1622820781.7848084,3831,348.0
1622820824.0368183,3833,229.0
1622820866.1413376,3835,268.0
1622821153.3348157,3848,257.0
1622821481.1735587,3864,281.0
1622821570.7630577,3869,230.5
1622821712.91709,3876,187.0
1622822212.5438874,3901,175.0
1622822224.7786984,3902,179.0
1622822251.9456985,3903,133.0
1622822363.468366,3908,216.0
1622822413.8225152,3910,259.0
1622822601.7401798,3920,-13.0
1622822724.4776096,3928,206.0
1622822895.5511591,3934,438.0
1622822912.13572,3935,328.0
1622823010.5754046,3939,223.0
1622823226.6650722,3950,235.0
1622823357.8968897,3956,437.0
1622823460.8973227,3962,281.0
1622823554.0901637,3965,487.0
1622823844.2806978,3980,192.0
1622823917.8983316,3984,176.0
1622824041.8605297,3991,198.0
1622824134.9959264,3995,168.0
1622824235.2004197,4000,201.3333282470703
1622824372.8555868,4005,295.0
1622824442.118242,4009,200.0
1622824454.1052747,4010,398.0
1622824669.5760355,4021,25.0
1622824677.8200152,4022,83.0
1622824914.6287982,4033,212.5
1622824956.5891285,4035,305.0
1622824997.135187,4036,386.0
1622825158.3436136,4043,334.0
1622825207.2823527,4045,199.0
1622825221.4333308,4046,169.0
1622825235.100883,4047,306.0
1622825247.2902455,4048,364.0
1622825358.9904459,4054,282.0
1622825857.7328765,4076,-98.0
1622826188.905664,4093,204.0
1622826291.9191282,4098,120.0
1622826306.9656,4099,259.0
1622826366.5911906,4101,417.0
1622826498.105369,4109,75.0
1622826793.8846853,4121,194.0
1622827797.444889,4167,234.0
1622827897.31008,4172,180.0
1622828117.7448974,4181,326.0
1622828148.1201017,4182,234.0
1622828417.4845195,4193,382.0
1622828428.9079359,4194,104.0
1622828456.583153,4196,167.0
1622828500.094415,4198,206.0
1622828555.0071492,4201,254.0
1622828574.888727,4202,-13.0
1622828612.9774618,4204,86.0
