Wall time,Step,Value
1622733700.7435634,5,-42.15999984741211
1622733967.005634,18,-26.809999465942383
1622734114.8675075,24,-32.22999954223633
1622734557.6120355,40,-40.849998474121094
1622734610.9080598,42,-39.06999969482422
1622734681.928089,45,-35.939998626708984
1622734739.0259745,47,-44.119998931884766
1622734856.5561664,53,-40.31999969482422
1622734928.895239,56,-36.959999084472656
1622735300.7863522,71,-32.86000061035156
1622735356.5703604,74,-43.470001220703125
1622735823.5522387,94,-41.38999938964844
1622735996.2755618,102,-32.31999969482422
1622736079.2393236,105,-26.84000015258789
1622736095.1501625,106,-40.93000030517578
1622736291.4214032,113,-42.5
1622736576.1621056,126,-8.829999923706055
1622736894.1550336,139,-22.190000534057617
1622737166.4121354,150,-43.529998779296875
1622737293.9646597,155,-33.790000915527344
1622737348.337749,158,-1.4700000286102295
1622737569.6140897,167,-2.5399999618530273
1622737593.9514208,168,-29.31999969482422
1622737810.1967363,178,-40.310001373291016
1622737931.5293472,183,-45.5
1622737992.0842612,185,-32.83000183105469
1622738006.0651414,186,-33.81999969482422
1622738091.9903703,190,-24.219999313354492
1622738266.4778945,198,-19.040000915527344
1622738447.972968,206,-18.450000762939453
1622738467.504703,207,-18.549999237060547
1622738593.708395,212,-18.600000381469727
1622738846.631272,223,-48.290000915527344
1622738967.6056497,229,-30.18000030517578
1622739086.9770236,234,-24.139999389648438
1622739158.5077627,237,-40.91999816894531
1622739489.0672433,249,-23.260000228881836
1622739596.7037373,255,-41.97999954223633
1622739726.3781013,260,-25.15999984741211
1622739896.0450575,267,-14.710000038146973
1622739997.442788,271,-5.28000020980835
1622740031.966391,273,-31.389999389648438
1622740460.8067944,292,-34.97999954223633
1622740561.515667,297,4.659999847412109
1622740595.8671284,298,-36.220001220703125
1622740715.1963148,303,-15.84000015258789
1622740844.954644,308,-18.450000762939453
1622740882.3584564,310,-32.63999938964844
1622741083.2647686,318,-26.799999237060547
1622741113.748228,319,-33.439998626708984
1622741361.0143096,330,-20.049999237060547
1622741540.7856083,339,-20.270000457763672
1622741748.9182732,347,-22.389999389648438
1622742126.5391824,363,-34.20000076293945
1622742209.5589075,367,-38.119998931884766
1622742484.9650304,377,-45.459999084472656
1622743464.2394736,421,-40.099998474121094
1622743503.9053776,422,-59.33000183105469
1622743664.6451738,430,-15.734999656677246
1622743879.8846993,439,-25.110000610351562
1622743930.9758348,441,-16.3700008392334
1622743939.2578974,442,-33.16999816894531
1622743983.8744533,445,-34.16999816894531
1622744133.4569173,451,-28.360000610351562
1622744346.3863435,460,-50.970001220703125
1622744397.7396975,463,-46.4900016784668
1622744421.409895,464,-18.690000534057617
1622744641.0982163,474,-31.56999969482422
1622745107.0166283,491,-8.649999618530273
1622745137.86949,493,-6.079999923706055
1622745492.6525705,507,-18.264999389648438
1622745615.3453166,512,-3.299999952316284
1622745701.531993,514,-36.08000183105469
1622745747.740055,517,-43.709999084472656
1622745947.9036114,525,-6.760000228881836
1622746100.5672524,531,-54.13999938964844
1622746137.7256253,533,-20.8799991607666
1622746170.1125767,536,-26.329999923706055
1622746299.482402,542,-46.31999969482422
1622746389.176652,547,-37.040000915527344
1622746608.3637996,557,-25.479999542236328
1622746773.9588993,563,-36.4900016784668
1622746874.414193,569,-6.690000057220459
1622746996.995535,573,0.25999999046325684
1622747112.764193,579,-20.690000534057617
1622747159.8923202,581,-26.899999618530273
1622747230.0223947,584,-48.29999923706055
1622747276.9127986,586,-33.720001220703125
1622747294.528175,587,-13.979999542236328
1622747413.7158701,592,-22.989999771118164
1622747432.6302633,593,-25.25
1622747660.7629244,602,-28.235000610351562
1622747856.3906512,610,-32.9900016784668
1622747964.8122544,615,-15.699999809265137
1622748060.0950124,620,-19.729999542236328
1622748106.5880075,622,-20.360000610351562
1622748408.9060342,634,-31.954999923706055
1622748595.778275,641,-1.5199999809265137
1622748605.2247272,642,0.5199999809265137
1622748636.8006876,644,-40.25
1622748705.963443,646,-8.079999923706055
1622748724.7158594,647,-28.079999923706055
1622748783.1593297,649,1.1050000190734863
1622749050.3686297,661,-19.190000534057617
1622749133.96278,664,-20.399999618530273
1622749244.6848195,668,1.4299999475479126
1622749315.3344195,671,-7.96999979019165
1622749395.7986283,674,-17.540000915527344
1622749480.413846,678,-18.3799991607666
1622749522.4016016,679,-20.5
1622749601.4603693,683,-28.6299991607666
1622749706.7985218,688,-22.510000228881836
1622750004.6710167,699,-26.06999969482422
1622750150.3281648,706,-46.349998474121094
1622750326.5588782,714,-37.68000030517578
1622750407.3233624,718,-25.190000534057617
1622750501.7106807,721,-29.84000015258789
1622750515.7487123,722,-19.649999618530273
1622750553.9656987,723,-25.190000534057617
1622750726.260678,730,-4.5
1622750844.9743302,736,-13.130000114440918
1622750925.123519,739,-30.969999313354492
1622750997.543993,743,-22.889999389648438
1622751071.6628673,747,-17.780000686645508
1622751183.7879183,751,-24.889999389648438
1622751197.7807405,752,-26.0049991607666
1622751340.3264503,756,-11.220000267028809
1622751571.9347284,765,-1.350000023841858
