Wall time,Step,Value
1622733700.7444708,5,0.0
1622733967.0063028,18,0.0
1622734114.8681264,24,0.0
1622734557.6129231,40,0.0
1622734610.9087858,42,0.0
1622734681.929821,45,0.0
1622734739.0268054,47,0.0
1622734856.556746,53,0.0
1622734928.8958113,56,0.0
1622735300.788808,71,0.0
1622735356.571657,74,0.0
1622735823.552819,94,0.0
1622735996.2761793,102,0.0
1622736079.2399735,105,0.0
1622736095.1506348,106,0.0
1622736291.4238768,113,0.0
1622736576.1630354,126,0.0
1622736894.1587825,139,0.0
1622737166.4126916,150,0.0
1622737293.9654112,155,0.0
1622737348.3395855,158,0.0
1622737569.614865,167,0.0
1622737593.953694,168,0.0
1622737810.19737,178,0.0
1622737931.5303345,183,0.0
1622737992.0851977,185,0.0
1622738006.0660038,186,0.0
1622738091.9909391,190,0.0
1622738266.4785688,198,0.0
1622738447.9744933,206,0.0
1622738467.5056522,207,0.0
1622738593.709042,212,0.0
1622738846.6343696,223,0.0
1622738967.6062062,229,0.0
1622739086.9781098,234,0.0
1622739158.5087419,237,0.0
1622739489.0682523,249,0.0
1622739596.7044592,255,0.0
1622739726.3787072,260,0.0
1622739896.0465639,267,0.0
1622739997.4433625,271,0.0
1622740031.967211,273,0.0
1622740460.8074138,292,0.0
1622740561.5177815,297,1.0
1622740595.8681548,298,0.0
1622740715.197254,303,0.0
1622740844.955549,308,0.0
1622740882.3589504,310,0.0
1622741083.2656174,318,0.0
1622741113.7496889,319,0.0
1622741361.015263,330,0.0
1622741540.7862003,339,0.0
1622741748.9189816,347,0.0
1622742126.5399506,363,0.0
1622742209.559742,367,0.0
1622742484.9662623,377,0.0
1622743464.240371,421,0.0
1622743503.9062274,422,0.0
1622743664.645862,430,0.0
1622743879.8855689,439,0.0
1622743930.976704,441,0.0
1622743939.2596025,442,0.0
1622743983.8751574,445,0.0
1622744133.4577136,451,0.0
1622744346.387279,460,0.0
1622744397.7402434,463,0.0
1622744421.411046,464,0.0
1622744641.0987692,474,0.0
1622745107.0181675,491,0.0
1622745137.870627,493,0.0
1622745492.653529,507,0.0
1622745615.3461645,512,0.0
1622745701.534502,514,0.0
1622745747.7406971,517,0.0
1622745947.9043393,525,0.0
1622746100.5680635,531,0.0
1622746137.729332,533,0.0
1622746170.1152484,536,0.0
1622746299.483306,542,0.0
1622746389.177554,547,0.0
1622746608.3644946,557,0.0
1622746773.96014,563,0.0
1622746874.4154499,569,0.0
1622746996.996394,573,1.0
1622747112.7647908,579,0.0
1622747159.8935473,581,0.0
1622747230.0244787,584,0.0
1622747276.9139113,586,0.0
1622747294.528699,587,0.0
1622747413.7164738,592,0.0
1622747432.6330934,593,0.0
1622747660.7644885,602,0.0
1622747856.3911927,610,0.0
1622747964.8130445,615,0.0
1622748060.0958452,620,0.0
1622748106.5891886,622,0.0
1622748408.9068277,634,0.0
1622748595.7790058,641,1.0
1622748605.225578,642,1.0
1622748636.8015242,644,0.0
1622748705.9641232,646,0.0
1622748724.7170343,647,0.0
1622748783.1600416,649,0.5
1622749050.3695247,661,0.0
1622749133.9635718,664,0.0
1622749244.6866097,668,1.0
1622749315.335091,671,0.0
1622749395.8003974,674,0.0
1622749480.416443,678,0.0
1622749522.402737,679,0.0
1622749601.4610782,683,0.0
1622749706.7995412,688,0.0
1622750004.6718953,699,0.0
1622750150.3291302,706,0.0
1622750326.5594287,714,0.0
1622750407.3238897,718,0.0
1622750501.7129726,721,0.0
1622750515.7494102,722,0.0
1622750553.9668164,723,0.0
1622750726.2614996,730,0.0
1622750844.9760695,736,0.0
1622750925.1244829,739,0.0
1622750997.544682,743,0.0
1622751071.6637547,747,0.0
1622751183.7886016,751,0.0
1622751197.7819874,752,0.0
1622751340.3275971,756,0.0
1622751571.9354992,765,0.0
1622751646.5091765,769,0.0
1622751666.2030065,770,0.0
1622751690.367795,771,0.0
1622751744.3584805,773,0.0
1622751797.8249793,774,0.0
1622751887.1959536,780,0.0
1622752043.0002458,784,0.0
1622752064.6320426,785,0.0
1622752098.3711314,787,0.0
1622752142.432736,789,0.0
1622752251.3365455,792,0.0
1622752259.4497995,793,0.0
1622752270.216665,794,0.5
1622752368.0340848,798,1.0
1622752496.176259,802,0.0
1622752579.527977,807,0.0
1622752637.3415058,808,0.0
1622752682.679387,809,0.0
1622753204.5449913,832,0.5
1622753354.8566706,836,1.0
1622753386.4034414,838,0.0
1622753531.2947965,843,0.0
1622754084.8641386,867,1.0
1622754140.1437852,869,0.0
1622754207.373433,874,0.0
1622754305.9727073,876,0.0
1622754377.26092,880,0.0
1622754428.573829,882,0.0
1622754614.0446146,890,1.0
1622754777.9512086,896,0.0
1622754890.5757058,900,0.0
1622755014.6299665,907,1.0
1622755087.0053222,909,0.0
1622755205.5981057,915,1.0
1622755237.5529187,917,1.0
1622755308.501467,920,1.0
1622755391.8662834,923,1.0
1622755588.7873204,931,0.0
1622755608.1964278,932,1.0
1622755665.1628797,935,1.0
1622755827.9258406,942,0.0
1622755876.3972595,945,1.0
1622756115.067287,954,0.0
1622756201.758369,958,0.0
1622756303.950956,961,0.0
1622756320.6382864,962,1.0
1622756508.409476,971,1.0
1622756540.9610746,972,0.5
1622756635.846682,976,0.0
1622756689.684757,978,0.0
1622756702.9419544,979,1.0
1622756791.5242014,983,1.0
1622756816.103765,984,1.0
1622756877.2804954,987,1.0
1622756907.5324667,988,0.0
1622757115.8551812,996,1.0
1622757201.0398705,1000,1.0
1622757233.8535237,1002,0.0
1622757300.9450471,1004,0.0
1622757309.6525617,1005,0.0
1622757560.95332,1014,0.0
1622757631.4682267,1017,0.0
1622757812.7758832,1025,1.0
1622757854.4168692,1027,0.0
1622758087.0972078,1037,1.0
1622758261.79491,1044,0.0
1622758556.2758582,1057,0.0
1622758732.3102949,1063,0.0
1622758777.6625211,1066,0.0
1622758835.9856524,1068,0.0
1622758913.2358525,1072,1.0
1622758988.6159227,1076,0.0
1622759057.4762142,1078,1.0
1622759160.541134,1083,1.0
1622759199.7896924,1084,1.0
1622759476.7243607,1093,0.5
1622759635.989329,1099,1.0
1622759707.7777228,1103,0.0
1622759748.2770498,1104,1.0
1622760009.3804483,1114,1.0
1622760130.9920456,1119,0.0
1622760456.8392448,1133,0.0
1622760506.57677,1135,1.0
1622760979.6571102,1155,1.0
1622761007.440581,1156,0.0
1622761083.337622,1160,1.0
1622761115.451221,1161,1.0
1622761148.8462477,1162,1.0
1622761526.343824,1180,0.0
1622761854.5688763,1192,1.0
1622761902.4880898,1193,0.0
1622762080.7783701,1199,1.0
1622762138.6368344,1201,0.0
1622762224.710148,1206,1.0
1622762266.9770017,1208,0.0
1622762845.8652253,1232,1.0
1622762878.5242183,1234,1.0
1622763165.707875,1244,1.0
1622763481.77188,1255,0.0
1622763524.4319956,1258,0.0
1622763584.4688127,1261,0.0
1622763914.3392246,1274,0.0
1622764061.4830058,1281,0.0
1622764208.1793637,1287,0.0
1622764365.8171911,1294,0.0
1622764508.160652,1300,1.0
1622764734.3551688,1310,1.0
1622764833.3075967,1315,1.0
1622764847.0947447,1316,1.0
1622764968.9517398,1319,1.0
1622765072.5916579,1325,1.0
1622765124.8728209,1327,1.0
1622765223.8279102,1330,1.0
1622765273.1614027,1333,1.0
1622765313.893491,1336,0.0
1622765331.11823,1337,0.0
1622765753.6356792,1355,0.5
1622766100.3641465,1370,0.0
1622766435.229938,1385,0.5
1622766528.3181248,1388,1.0
1622766545.7777717,1389,1.0
1622766603.9957156,1391,1.0
1622766616.3827367,1392,1.0
1622767061.4411454,1413,1.0
1622767124.5586514,1414,1.0
1622767240.2921035,1419,1.0
1622767305.9306662,1422,0.0
1622767407.7687347,1426,1.0
1622767471.594626,1428,0.0
1622767560.1227007,1432,1.0
1622767652.6932526,1436,1.0
1622767746.2896588,1440,0.0
1622768316.425234,1465,0.0
1622768344.892646,1466,1.0
1622768579.7092109,1477,1.0
1622768797.2749517,1485,1.0
1622768814.701049,1486,1.0
1622768871.3410287,1489,0.0
1622768925.3138957,1491,1.0
1622768937.659772,1492,0.0
1622769185.0797632,1501,1.0
1622769348.5435882,1508,0.5
1622769731.2437592,1523,0.0
1622769745.1190886,1524,1.0
1622769828.9531057,1527,0.0
1622770256.1834815,1546,0.0
1622770389.8387384,1551,0.0
1622770412.7269015,1552,0.0
1622770467.6281137,1554,0.0
1622770628.9169798,1561,1.0
1622770782.4170191,1568,1.0
1622770800.2176373,1569,0.0
1622771016.4646645,1578,1.0
1622771119.0950284,1582,1.0
1622771162.5977995,1584,1.0
1622771219.9364984,1588,1.0
1622771444.3460765,1597,1.0
1622771620.2057354,1604,0.0
1622771647.229573,1605,1.0
1622771747.130226,1610,1.0
1622771943.468429,1618,1.0
1622772134.571781,1627,1.0
1622772154.7148967,1628,0.0
1622772229.0642428,1632,1.0
1622772345.959827,1637,1.0
1622772412.5369468,1640,1.0
1622772439.298658,1642,1.0
1622772507.2440667,1645,0.0
1622772597.6441262,1648,1.0
1622772673.375696,1652,1.0
1622772849.0731077,1660,1.0
1622773036.3110108,1668,1.0
1622773105.8564897,1672,1.0
1622773185.5087216,1675,1.0
1622773196.7816565,1676,1.0
1622773311.6900518,1682,1.0
1622773507.776958,1691,1.0
1622773593.2162237,1695,1.0
1622773639.3792915,1696,1.0
1622773648.5093238,1697,0.0
1622773679.0858455,1699,1.0
1622773757.9543657,1702,0.0
1622773925.7315066,1709,1.0
1622774115.1609733,1718,0.0
1622774337.0810823,1728,1.0
1622774430.6778831,1732,1.0
1622774504.573139,1734,0.0
1622774538.4807856,1737,1.0
1622774647.0693512,1742,1.0
1622774684.4196882,1743,0.0
1622774713.046426,1745,1.0
1622774744.75912,1746,0.0
1622774770.9105089,1747,0.5
1622774898.4661202,1752,1.0
1622775173.9717553,1766,1.0
1622775393.736069,1775,1.0
1622775528.0646708,1781,1.0
1622775687.2970474,1788,1.0
1622775708.5240731,1789,1.0
1622775933.7031274,1798,1.0
1622776079.921699,1805,1.0
