Wall time,Step,Value
1623427125.383138,5,-284.0
1623427420.9780498,18,-251.0
1623427598.5914211,24,-275.0
1623428010.6384473,40,-168.0
1623428045.5720773,42,-288.0
1623428114.936046,45,-316.0
1623428296.6596987,53,-533.5
1623428386.1626236,56,-203.0
1623428794.8386621,71,-294.0
1623428860.9369822,74,-514.0
1623429347.3886712,94,-309.0
1623429533.7434366,102,-445.0
1623429641.6052833,105,-356.0
1623429657.005823,106,-267.0
1623429796.6339786,113,-368.0
1623430092.1225224,126,-316.0
1623430383.72553,139,-251.0
1623430641.0460122,150,-417.0
1623430763.1350203,155,-450.0
1623430847.5259364,158,-433.0
1623431038.655408,167,-216.0
1623431059.9182873,168,-168.0
1623431315.1416054,178,-314.0
1623431426.7552564,183,-422.0
1623431466.112399,185,-401.0
1623431490.107201,186,-579.0
1623431564.3459175,190,-297.0
1623431761.3649926,198,-308.0
1623431938.9099789,206,-472.0
1623431962.4730291,207,-322.0
1623432089.7970104,212,-199.0
1623432356.873422,223,-290.0
1623432502.3239148,229,-306.0
1623432615.1835515,234,-242.0
1623432993.9296873,249,-148.5
1623433176.1055665,255,-319.0
1623433269.8013825,260,-349.0
1623433447.9832988,267,-198.0
1623433526.1168358,271,-198.0
1623433568.1411564,273,-378.0
1623434038.4765172,292,-272.0
1623434156.873855,297,-358.0
1623434177.0304863,298,-218.0
1623434265.4287455,303,-247.0
1623434396.1624718,308,-356.0
1623434435.949606,310,-371.0
1623434637.4399304,318,-68.0
1623434649.5429757,319,-284.0
1623434918.5375116,330,-208.0
1623435142.8391843,339,-85.0
1623435384.534986,347,-274.5
1623435808.1736379,363,-166.0
1623435880.0609157,367,-226.0
1623436115.786856,377,-103.0
1623437138.8784468,421,-482.0
1623437186.932589,422,-261.0
1623437364.8665738,430,-238.0
1623437526.9968066,439,-209.0
1623437589.7491198,441,-411.0
1623437608.2316246,442,-293.0
1623437659.9388583,445,-432.0
1623437847.0666,451,-264.0
1623438085.963282,460,-163.0
1623438135.6793177,463,-451.0
1623438155.3381438,464,-23.0
1623438385.2470984,474,-191.0
1623438815.6820257,491,-312.0
1623438858.654472,493,-257.5
1623439305.9674616,512,-524.0
1623439348.4414442,514,-144.0
1623439437.6894689,517,-293.0
1623439606.184908,525,-309.0
1623439752.6784177,531,-277.0
1623439787.1045406,533,-261.0
1623439842.4435084,536,-113.0
1623439988.1734784,542,-268.0
1623440091.7233784,547,-217.0
1623440308.7354865,557,-214.0
1623440434.7319174,563,-136.0
1623440554.0260782,569,-173.0
1623440671.5447283,573,-156.5
1623440828.0002904,579,-204.0
1623440904.9620035,581,-159.0
1623440971.2948914,584,-93.0
1623441020.8653963,586,-308.0
1623441031.4976406,587,-112.0
1623441168.3368354,592,-200.0
1623441182.6845386,593,-222.0
1623441379.6823988,602,-309.0
1623441572.185095,610,-122.25
1623441740.0139804,615,-198.0
1623441827.5425982,620,-205.5
1623441861.4504552,622,-228.0
1623442178.8102586,634,-90.5
1623442345.2486405,641,-397.0
1623442354.3377793,642,-405.0
1623442395.1858358,644,-320.0
1623442478.3029447,647,-69.0
1623442544.9909003,649,-326.0
1623442798.6658924,661,-9.0
1623442890.4490664,664,-257.0
1623442958.063157,668,-197.0
1623443030.5150506,671,-120.0
1623443126.9284968,674,-113.0
1623443215.2631948,678,-124.0
1623443264.659799,679,-66.0
1623443367.2328334,683,53.0
1623443475.9283938,688,-263.0
1623443724.0082269,699,-258.0
1623443889.691727,706,-15.0
1623444083.8626356,714,-171.0
1623444226.532289,718,-196.0
1623444290.7718973,721,-201.0
1623444304.2285972,722,-17.0
1623444330.1303868,723,-195.0
1623444543.3897502,730,-38.0
1623444728.8878307,739,-144.0
1623444840.184727,743,53.0
1623444936.2560573,747,-224.0
1623445014.376228,751,-313.0
1623445052.1323853,752,-117.0
1623445143.0797122,756,-154.0
1623445366.3299785,765,-207.0
