Wall time,Step,Value
1623427125.382817,5,-29.59000015258789
1623427420.9776428,18,-25.030000686645508
1623427598.5905094,24,-27.165000915527344
1623428010.6380634,40,-17.770000457763672
1623428045.5714307,42,-27.809999465942383
1623428114.935651,45,-32.720001220703125
1623428296.658395,53,-52.98500061035156
1623428386.161739,56,-19.510000228881836
1623428794.8380349,71,-29.450000762939453
1623428860.936357,74,-51.540000915527344
1623429347.3871708,94,-30.950000762939453
1623429533.7427874,102,-45.209999084472656
1623429641.604907,105,-35.75
1623429657.005467,106,-27.940000534057617
1623429796.6332092,113,-37.150001525878906
1623430092.1219969,126,-31.6299991607666
1623430383.724917,139,-25.219999313354492
1623430641.0442266,150,-44.2599983215332
1623430763.1346323,155,-45.16999816894531
1623430847.5251474,158,-43.459999084472656
1623431038.6549757,167,-20.489999771118164
1623431059.9178705,168,-17.020000457763672
1623431315.1410851,178,-31.31999969482422
1623431426.754986,183,-43.099998474121094
1623431466.1117506,185,-40.25
1623431490.1068714,186,-57.93000030517578
1623431564.3449104,190,-30.56999969482422
1623431761.364566,198,-28.889999389648438
1623431938.9095857,206,-47.279998779296875
1623431962.4720101,207,-32.310001373291016
1623432089.796609,212,-22.059999465942383
1623432356.873011,223,-29.719999313354492
1623432502.3229084,229,-29.3700008392334
1623432615.182988,234,-23.34000015258789
1623432993.9284885,249,-15.395000457763672
1623433176.1050794,255,-32.02000045776367
1623433269.80089,260,-31.190000534057617
1623433447.9827573,267,-19.1299991607666
1623433526.1161723,271,-20.989999771118164
1623433568.1396132,273,-36.72999954223633
1623434038.4758434,292,-26.049999237060547
1623434156.873121,297,-23.8700008392334
1623434177.0297284,298,-20.65999984741211
1623434265.4283478,303,-12.8100004196167
1623434396.1620588,308,-34.52000045776367
1623434435.9491932,310,-37.22999954223633
1623434637.4394286,318,-7.840000152587891
1623434649.542593,319,-28.65999984741211
1623434918.5368965,330,-20.860000610351562
1623435142.8386114,339,-8.5600004196167
1623435384.534565,347,-24.514999389648438
1623435808.1731834,363,-16.729999542236328
