Wall time,Step,Value
1623427125.3834581,5,0.0
1623427420.9796207,18,0.0
1623427598.5916991,24,0.0
1623428010.6386852,40,0.0
1623428045.5723212,42,0.0
1623428114.9362736,45,0.0
1623428296.6602354,53,0.0
1623428386.1629844,56,0.0
1623428794.839,71,0.0
1623428860.937455,74,0.0
1623429347.388892,94,0.0
1623429533.743821,102,0.0
1623429641.605918,105,0.0
1623429657.005974,106,0.0
1623429796.6348708,113,0.0
1623430092.1229143,126,0.0
1623430383.72588,139,0.0
1623430641.046245,150,0.0
1623430763.1352355,155,0.0
1623430847.5262341,158,0.0
1623431038.655632,167,0.0
1623431059.918537,168,0.0
1623431315.1433625,178,0.0
1623431426.7554803,183,0.0
1623431466.112837,185,0.0
1623431490.107668,186,0.0
1623431564.34622,190,0.0
1623431761.365394,198,0.0
1623431938.9102569,206,0.0
1623431962.473345,207,0.0
1623432089.7974443,212,0.0
1623432356.8736808,223,0.0
1623432502.3241801,229,0.0
1623432615.1838238,234,0.0
1623432993.9299953,249,0.0
1623433176.106213,255,0.0
1623433269.801634,260,0.0
1623433447.983657,267,0.0
1623433526.1172345,271,0.0
1623433568.1414385,273,0.0
1623434038.4768612,292,0.0
1623434156.8742275,297,0.0
1623434177.0314634,298,0.0
1623434265.429,303,0.0
1623434396.1627192,308,0.0
1623434435.94984,310,0.0
1623434637.4406512,318,0.0
1623434649.5432062,319,0.0
1623434918.5379093,330,0.0
1623435142.8405645,339,0.0
1623435384.5354497,347,0.0
1623435808.1739268,363,0.0
1623435880.0612013,367,0.0
1623436115.7870142,377,0.0
1623437138.8787427,421,0.0
1623437186.9334998,422,0.0
1623437364.8667376,430,0.0
1623437526.9970958,439,0.0
1623437589.7496057,441,0.0
1623437608.2319088,442,0.0
1623437659.9391298,445,0.0
1623437847.0667562,451,0.0
1623438085.9636123,460,0.0
1623438135.679595,463,0.0
1623438155.338283,464,0.0
1623438385.2473462,474,0.0
1623438815.6822424,491,0.0
1623438858.654751,493,0.0
1623439305.9677274,512,0.0
1623439348.4417,514,0.0
1623439437.6896644,517,0.0
1623439606.1851697,525,0.0
1623439752.6786664,531,0.0
1623439787.1048465,533,0.0
1623439842.4437816,536,0.0
1623439988.1736536,542,0.0
1623440091.7236984,547,0.0
1623440308.7357056,557,0.0
1623440434.732367,563,0.0
1623440554.0269709,569,0.0
1623440671.544911,573,0.0
1623440828.0010364,579,0.0
1623440904.9621868,581,0.0
1623440971.295118,584,0.0
1623441020.865562,586,0.0
1623441031.499834,587,0.0
1623441168.3372805,592,0.0
1623441182.6848643,593,0.0
1623441379.6826048,602,0.0
1623441572.1853268,610,0.0
1623441740.0144603,615,0.0
1623441827.5427468,620,0.0
1623441861.4508183,622,0.0
1623442178.8107507,634,0.0
1623442345.2498944,641,0.0
1623442354.3379717,642,0.0
1623442395.1861079,644,0.0
1623442478.3034837,647,0.0
1623442544.9911304,649,0.0
1623442798.666086,661,0.0
1623442890.4493418,664,0.0
1623442958.0634847,668,0.0
1623443030.5153956,671,0.0
1623443126.9288194,674,0.0
1623443215.2633953,678,0.0
1623443264.660005,679,0.0
1623443367.2333124,683,1.0
1623443475.9293163,688,0.0
1623443724.0083907,699,0.0
1623443889.6922235,706,0.0
