Wall time,Step,Value
1622898414.5140865,5,-285.0
1622898697.3177662,18,-387.0
1622898836.826215,24,-301.0
1622899208.1839993,40,-147.0
1622899242.8495245,42,-481.0
1622899293.4197307,45,-255.0
1622899522.2908652,53,-314.0
1622899581.8433652,56,-373.0
1622899913.2565331,71,-565.0
1622899994.1165462,74,-6.0
1622900419.8629134,94,-489.0
1622900616.1610513,102,-330.0
1622900702.3112948,105,-281.0
1622900712.4899821,106,-123.0
1622900847.5935693,113,-222.0
1622901171.5178628,126,-238.0
1622901476.092358,139,-206.0
1622901747.9276633,150,-494.0
1622901853.9165573,155,-224.0
1622901929.3457377,158,-172.0
1622902154.888795,167,-23.0
1622902167.8798447,168,-68.0
1622902454.1013858,178,-240.0
1622902584.4052837,183,-316.0
1622902622.530551,185,-394.0
1622902654.2568645,186,-281.0
1622902738.8462634,190,-284.0
1622902928.3299463,198,-272.0
1622903124.3977592,206,-446.0
1622903147.2137945,207,-165.0
1622903257.7923725,212,-408.0
1622903508.8891335,223,-200.0
1622903655.0620897,229,-146.0
1622903765.500707,234,-501.0
1622904141.4181063,249,-133.0
1622904289.372056,255,-575.0
1622904423.5078363,260,-170.0
1622904569.176613,267,-145.0
1622904669.8932462,271,-203.0
1622904706.6413603,273,-317.0
1622905178.3180716,292,-85.0
1622905314.6200504,297,-171.0
1622905358.7294323,298,-439.0
1622905459.830304,303,-334.0
1622905575.6840851,308,-305.0
1622905662.2879632,310,-250.0
1622905859.4951246,318,-224.0
1622905872.562898,319,-470.0
1622906115.4441922,330,-284.5
1622906351.6865864,339,-113.0
1622906581.5005274,347,-170.0
1622906952.6282825,363,-306.0
1622907020.4092307,367,-186.0
1622907286.6205966,377,-67.0
1622908310.660933,421,-119.0
1622908331.1055336,422,-248.0
1622908496.861117,430,-412.0
1622908707.9931576,439,-139.0
1622908772.8155577,441,-266.0
1622908815.702078,442,-356.0
1622908884.365458,445,-403.0
1622909020.0666509,451,-244.0
1622909214.2247205,460,-166.0
1622909272.1794353,463,-340.0
1622909318.671584,464,-497.0
1622909544.275352,474,-580.0
1622910025.6597197,491,-172.0
1622910066.4217944,493,-266.0
1622910511.996589,512,-115.0
1622910572.738694,514,-208.0
1622910650.2746136,517,-172.0
1622910833.0580692,525,-197.0
1622910960.8446712,531,-115.0
1622911000.0137262,533,-466.0
1622911078.1138191,536,11.0
1622911203.8505404,542,-325.0
1622911333.8930995,547,-331.0
1622911532.7588294,557,-223.0
1622911691.824414,563,-309.0
1622911840.0401063,569,-181.0
1622911973.090487,573,-208.0
1622912124.3935263,579,-350.0
1622912153.9384546,581,19.0
1622912209.9727004,584,-417.0
1622912282.7482605,586,-272.0
1622912330.0892339,587,-193.0
1622912402.881624,592,-61.0
1622912438.954282,593,-207.0
1622912628.2770386,602,-126.0
1622912805.359825,610,-405.0
1622912914.013371,615,7.0
1622913024.5755696,620,-135.0
1622913090.9700735,622,-282.0
1622913341.1731417,634,-146.0
1622913518.590369,641,-332.0
1622913531.8315775,642,-128.0
1622913562.5617461,644,8.0
1622913634.9293287,647,-135.0
1622913692.039701,649,-330.0
1622913974.3594472,661,-125.0
1622914045.2238727,664,-169.0
1622914154.3875494,668,-225.0
1622914217.1409278,671,-50.0
1622914270.8249125,674,-233.0
1622914410.7723908,678,90.0
1622914428.4522269,679,-348.0
1622914506.5143383,683,21.0
1622914637.6598113,688,-207.0
1622915012.2047946,706,-312.0
1622915235.7690802,714,-188.0
1622915333.63092,718,196.0
1622915408.996244,722,127.0
1622915437.1171849,723,-195.0
1622915590.2076268,730,-100.0
1622915801.5483208,739,-90.0
1622915861.4731777,743,-136.0
1622915969.0873146,747,-145.5
1622916071.4318619,751,7.0
1622916095.2725384,752,-91.0
1622916188.5387084,756,185.0
1622916419.8769681,765,-40.0
1622916514.9454203,769,-124.0
1622916530.2911143,770,-196.0
1622916548.2545629,771,-45.0
1622916575.3630478,773,-251.0
1622916609.0443134,774,-206.0
1622916764.650102,780,-32.5
1622916887.4300628,784,-200.0
1622916902.7410152,785,-64.0
1622916931.4583228,787,-39.0
1622917062.8953397,792,-4.0
1622917082.9752893,793,-17.0
1622917098.7333522,794,3.0
1622917236.4350557,798,-129.0
1622917309.2673566,802,29.0
1622917443.1205235,807,-130.0
1622917453.2332091,808,-253.0
1622917461.2103846,809,-109.0
1622918008.736586,832,-134.0
1622918072.0657222,836,-111.0
1622918150.642621,838,-52.0
1622918254.3327386,843,25.0
1622918843.0182672,867,77.0
1622918868.955919,869,13.0
1622918959.1094794,874,-40.5
1622919055.1570406,876,-121.0
1622919138.2062912,880,-84.0
1622919158.0383213,882,-50.0
1622919349.448129,890,49.0
1622919560.4177415,896,-126.0
1622919629.8839984,900,-121.0
1622919789.0683677,907,-80.0
1622919857.2981155,909,-9.0
1622920066.0369413,915,67.0
1622920109.1404727,917,-334.0
1622920148.350099,920,100.0
1622920244.4695308,923,-60.0
1622920429.9455671,931,-323.0
1622920441.1511877,932,-87.0
1622920528.5284827,935,-20.0
1622920689.5069053,942,-124.0
1622920781.3990717,945,64.0
1622920987.6196997,954,25.0
1622921076.900189,958,-44.0
1622921154.7816162,961,94.0
1622921173.874335,962,4.0
1622921400.4299169,971,-1.0
1622921415.0340972,972,141.0
1622921499.4832392,976,-6.0
1622921542.3548086,978,-97.0
1622921582.3372946,979,-170.0
1622921649.133378,983,201.0
1622921681.2195375,984,-213.0
1622921737.632568,987,77.0
1622921778.5864816,988,-264.0
1622921986.9826567,996,5.0
1622922063.9424481,1000,75.0
1622922131.4516366,1002,46.0
1622922191.0165446,1005,14.0
1622922387.135438,1014,182.0
1622922484.7990136,1017,-245.0
1622922640.3252661,1025,-40.0
1622922685.816327,1027,16.0
1622922905.1028738,1037,65.0
1622923101.331129,1044,87.0
1622923387.7279959,1057,-170.0
1622923533.6679578,1063,-23.0
1622923586.1459503,1066,125.0
1622923656.198167,1068,173.0
1622923719.85635,1072,11.0
1622923822.0575192,1076,249.0
1622923890.065711,1078,120.0
1622924038.8282468,1083,237.0
1622924048.679412,1084,63.0
1622924240.6417434,1093,128.0
1622924421.1649523,1099,-37.0
1622924543.9200711,1103,19.0
1622924568.801167,1104,-24.0
1622924755.1016505,1114,197.0
1622924904.4293044,1119,348.0
1622925258.624142,1133,-37.0
1622925309.01225,1135,-10.0
1622925801.9653304,1155,359.0
1622925832.474879,1156,164.0
1622925903.919962,1160,252.0
1622925934.980629,1161,132.0
1622925954.301756,1162,28.0
1622926391.7969708,1180,16.0
1622926634.8923478,1192,-234.0
1622926646.981392,1193,213.0
1622926780.8825386,1199,58.0
1622926832.5627863,1201,-122.0
1622926927.093424,1206,236.0
1622927526.3535745,1232,44.0
1622927586.03748,1234,-49.0
1622927798.6802104,1244,84.0
1622928059.290521,1255,89.0
1622928128.6217113,1258,-22.0
1622928221.1721911,1261,92.0
1622928703.0156085,1281,229.0
1622928828.5500402,1287,-202.0
1622928976.3196657,1294,55.0
1622929072.6339111,1300,-66.0
1622929296.6806502,1310,172.0
1622929452.2469687,1315,354.0
1622929477.9995153,1316,204.0
1622929518.7241313,1319,23.0
1622929738.4202576,1327,113.5
1622929802.879227,1330,164.0
1622929860.5148938,1333,151.0
1622929941.2283084,1336,29.0
1622929972.6523435,1337,91.0
1622930350.122497,1355,97.0
1622930683.0448503,1370,110.0
1622930983.9090133,1385,205.0
1622931070.071374,1388,99.0
1622931080.397966,1389,157.0
1622931115.9926145,1391,109.0
1622931144.9523463,1392,-30.0
