Wall time,Step,Value
1622898414.51332,5,-28.690000534057617
1622898697.3166547,18,-42.09000015258789
1622898836.825686,24,-28.979999542236328
1622899208.183416,40,-12.949999809265137
1622899242.8481665,42,-47.2599983215332
1622899293.418787,45,-24.969999313354492
1622899522.2903705,53,-32.61000061035156
1622899581.8427322,56,-40.02000045776367
1622899913.2561944,71,-55.47999954223633
1622899994.1161704,74,-4.440000057220459
1622900419.8622048,94,-36.9900016784668
1622900616.1604013,102,-33.04999923706055
1622900702.3107722,105,-30.850000381469727
1622900712.4896693,106,-12.140000343322754
1622900847.5928988,113,-22.350000381469727
1622901171.5175178,126,-23.969999313354492
1622901476.0920215,139,-18.6299991607666
1622901747.9270658,150,-49.4900016784668
1622901853.916115,155,-22.459999084472656
1622901929.3453152,158,-17.545000076293945
1622902154.8883739,167,-0.36000001430511475
1622902167.8789084,168,-6.539999961853027
1622902454.1005335,178,-22.8799991607666
1622902584.40483,183,-29.329999923706055
1622902622.5300775,185,-37.380001068115234
1622902654.2563627,186,-28.200000762939453
1622902738.8459413,190,-27.299999237060547
1622902928.329523,198,-27.399999618530273
1622903124.3966734,206,-44.72999954223633
1622903147.2133741,207,-16.6200008392334
1622903257.791647,212,-41.0099983215332
1622903508.888818,223,-19.989999771118164
1622903655.061585,229,-14.579999923706055
1622903765.5002937,234,-50.2400016784668
1622904141.4174638,249,-12.34000015258789
1622904289.3716683,255,-57.33000183105469
1622904423.5073395,260,-15.899999618530273
1622904569.1761718,267,-14.989999771118164
1622904669.8928428,271,-19.3700008392334
1622904706.6404574,273,-31.790000915527344
1622905178.3176312,292,-20.770000457763672
1622905314.6197033,297,-17.7450008392334
1622905358.7288916,298,-44.0
1622905459.8298872,303,-30.3700008392334
1622905575.6833582,308,-29.280000686645508
1622905662.286412,310,-25.1200008392334
1622905859.4947298,318,-20.399999618530273
1622905872.5623305,319,-35.279998779296875
1622906115.443748,330,-28.78499984741211
1622906351.6859586,339,-13.75
1622906581.50011,347,-17.1200008392334
1622906952.6274633,363,-28.559999465942383
1622907020.4085236,367,-18.59000015258789
1622907286.6200876,377,-6.429999828338623
1622908310.660456,421,-12.880000114440918
1622908331.1048863,422,-23.68000030517578
1622908496.8606555,430,-41.279998779296875
1622908707.9923604,439,-13.069999694824219
1622908772.81518,441,-25.469999313354492
1622908815.7013316,442,-35.630001068115234
1622908884.3647397,445,-40.290000915527344
1622909020.0658286,451,-25.020000457763672
1622909214.2242587,460,-16.739999771118164
1622909272.179022,463,-34.2599983215332
1622909318.6711893,464,-48.540000915527344
1622909544.2723124,474,-46.040000915527344
1622910025.6592555,491,-16.139999389648438
1622910066.4213426,493,-26.639999389648438
1622910511.9959621,512,-11.720000267028809
1622910572.7380917,514,-8.729999542236328
1622910650.2740397,517,-17.170000076293945
1622910833.0552838,525,-20.0
1622910960.8442824,531,-11.550000190734863
1622911000.0132968,533,-47.93000030517578
1622911078.1133988,536,2.759999990463257
1622911203.8501124,542,-29.18000030517578
1622911333.8925815,547,-33.18000030517578
1622911532.7583117,557,-16.780000686645508
1622911691.8240163,563,-31.1200008392334
1622911840.0397296,569,-18.290000915527344
1622911973.0900211,573,-20.719999313354492
1622912124.3930256,579,-35.130001068115234
1622912153.9378831,581,4.940000057220459
1622912209.9723997,584,-39.54999923706055
1622912282.746897,586,-31.90999984741211
1622912330.088431,587,-19.389999389648438
1622912402.8809814,592,-6.300000190734863
1622912438.9539196,593,-19.559999465942383
1622912628.2765334,602,-9.520000457763672
1622912805.3593702,610,-39.310001373291016
1622912914.0128422,615,1.850000023841858
1622913024.574262,620,-10.420000076293945
1622913090.9694283,622,-27.389999389648438
1622913341.172774,634,-14.710000038146973
1622913518.5899503,641,-33.400001525878906
1622913531.8310044,642,-15.329999923706055
1622913562.5613174,644,0.7200000286102295
1622913634.9290056,647,-13.539999961853027
1622913692.039155,649,-31.889999389648438
1622913974.359069,661,-12.65999984741211
1622914045.2234917,664,-15.710000038146973
1622914154.3867877,668,-23.670000076293945
1622914217.1405132,671,-5.269999980926514
1622914270.8244243,674,-21.65999984741211
1622914410.7712705,678,8.84000015258789
1622914428.451705,679,-36.2599983215332
1622914506.5138562,683,3.930000066757202
1622914637.6592581,688,-23.270000457763672
1622915012.2043276,706,-31.239999771118164
1622915235.768301,714,-18.860000610351562
1622915333.6304626,718,19.540000915527344
1622915408.995829,722,12.609999656677246
1622915437.116641,723,-19.670000076293945
1622915590.207169,730,-11.289999961853027
1622915801.5458117,739,-7.940000057220459
1622915861.4728389,743,-11.779999732971191
1622915969.0869672,747,-14.600000381469727
