Wall time,Step,Value
1622898414.5144136,5,0.0
1622898697.3183217,18,0.0
1622898836.8269012,24,0.0
1622899208.184265,40,0.0
1622899242.8542066,42,0.0
1622899293.4201996,45,0.0
1622899522.2915816,53,0.0
1622899581.8435879,56,0.0
1622899913.2567513,71,0.0
1622899994.1166785,74,0.0
1622900419.8632522,94,0.0
1622900616.1613343,102,0.0
1622900702.3115795,105,0.0
1622900712.4901545,106,0.0
1622900847.594299,113,0.0
1622901171.5184438,126,0.0
1622901476.0925744,139,0.0
1622901747.9281015,150,0.0
1622901853.9171212,155,0.0
1622901929.345979,158,0.0
1622902154.8890808,167,0.0
1622902167.8802817,168,0.0
1622902454.1018274,178,0.0
1622902584.4055743,183,0.0
1622902622.5308173,185,0.0
1622902654.257158,186,0.0
1622902738.846545,190,0.0
1622902928.332397,198,0.0
1622903124.3987107,206,0.0
1622903147.213959,207,0.0
1622903257.792696,212,0.0
1622903508.889582,223,0.0
1622903655.0623717,229,0.0
1622903765.5013342,234,0.0
1622904141.4184575,249,0.0
1622904289.3723843,255,0.0
1622904423.5080442,260,0.0
1622904569.1771297,267,0.0
1622904669.8934495,271,0.0
1622904706.6415832,273,0.0
1622905178.3182335,292,0.0
1622905314.6202545,297,0.0
1622905358.7299318,298,0.0
1622905459.8305526,303,0.0
1622905575.6842995,308,0.0
1622905662.2903726,310,0.0
1622905859.4953954,318,0.0
1622905872.5632136,319,0.0
1622906115.4444067,330,0.0
1622906351.686964,339,0.0
1622906581.500809,347,0.0
1622906952.6285522,363,0.0
1622907020.4096022,367,0.0
1622907286.6208913,377,0.0
1622908310.6612053,421,0.0
1622908331.1058292,422,0.0
1622908496.8613634,430,0.0
1622908707.9933968,439,0.0
1622908772.8158808,441,0.0
1622908815.7025495,442,0.0
1622908884.3663747,445,0.0
1622909020.0668664,451,0.0
1622909214.2249985,460,0.0
1622909272.1796572,463,0.0
1622909318.6720653,464,0.0
1622909544.2758663,474,0.0
1622910025.659918,491,0.0
1622910066.422303,493,0.0
1622910511.9969437,512,0.0
1622910572.7389472,514,0.0
1622910650.2748318,517,0.0
1622910833.0587015,525,0.0
1622910960.84511,531,0.0
1622911000.0139306,533,0.0
1622911078.114314,536,1.0
1622911203.8508785,542,0.0
1622911333.8933911,547,0.0
1622911532.7590654,557,0.0
1622911691.825005,563,0.0
1622911840.0403106,569,0.0
1622911973.0906644,573,0.0
1622912124.3939135,579,0.0
1622912153.9388912,581,1.0
1622912209.9728706,584,0.0
1622912282.7484682,586,0.0
1622912330.0896125,587,0.0
1622912402.882618,592,0.0
1622912438.9544573,593,0.0
1622912628.277408,602,0.0
1622912805.360842,610,0.0
1622912914.0136561,615,1.0
1622913024.5759664,620,0.0
1622913090.9704037,622,0.0
1622913341.1733508,634,0.0
1622913518.5906546,641,0.0
1622913531.831835,642,0.0
1622913562.5620127,644,1.0
1622913634.9295042,647,0.0
1622913692.0400577,649,0.0
1622913974.3596969,661,0.0
1622914045.2241457,664,0.0
1622914154.3878222,668,0.0
1622914217.141215,671,0.0
1622914270.8255367,674,0.0
1622914410.7731643,678,1.0
1622914428.452503,679,0.0
1622914506.5147204,683,1.0
1622914637.660141,688,0.0
1622915012.2050483,706,0.0
1622915235.769631,714,0.0
1622915333.6312015,718,1.0
1622915408.9964588,722,1.0
1622915437.1174545,723,0.0
1622915590.2078822,730,0.0
1622915801.5486915,739,0.0
1622915861.473433,743,0.0
1622915969.087471,747,0.0
1622916071.432113,751,1.0
1622916095.272794,752,0.0
1622916188.5391839,756,1.0
1622916419.877185,765,0.0
1622916514.945908,769,0.0
1622916530.2915146,770,0.0
1622916548.2548387,771,0.0
1622916575.3632693,773,0.0
1622916609.0444992,774,0.0
1622916764.6503751,780,0.5
1622916887.430259,784,0.0
1622916902.7412207,785,0.0
1622916931.4587407,787,0.0
1622917062.8955576,792,0.0
1622917082.975697,793,0.0
1622917098.7335784,794,1.0
1622917236.435305,798,0.0
1622917309.267645,802,1.0
1622917443.1260872,807,0.0
1622917453.2335312,808,0.0
1622917461.2106197,809,0.0
1622918008.7369132,832,0.0
1622918072.0660856,836,0.0
1622918150.6429317,838,0.0
1622918254.3329787,843,1.0
1622918843.0185266,867,1.0
1622918868.9561589,869,1.0
1622918959.1098552,874,0.5
1622919055.1578772,876,0.0
1622919138.2065947,880,0.0
1622919158.03853,882,0.0
1622919349.4484375,890,1.0
1622919560.418049,896,0.0
1622919629.8850472,900,0.0
1622919789.0686326,907,0.5
1622919857.2985125,909,0.0
1622920066.0373414,915,1.0
1622920109.14112,917,0.0
1622920148.3510454,920,1.0
