Wall time,Step,Value
1623117452.8776495,5,-174.0
1623117822.875885,18,-233.0
1623118067.6514604,24,-54.0
1623118616.149145,40,-172.0
1623118650.346177,42,-112.0
1623118700.4016922,45,-276.0
1623118986.6560328,53,-358.0
1623119064.180986,56,-272.0
1623119626.3898463,71,-543.0
1623119688.9895895,74,-79.0
1623120356.3924716,94,-4.0
1623120655.6742034,102,-416.0
1623120738.461102,105,-26.0
1623120768.4951406,106,-212.0
1623121017.4002187,113,-232.0
1623121446.4119053,126,-255.0
1623121857.5594432,139,-76.0
1623122207.193084,150,-438.0
1623122397.5826857,155,-113.0
1623122510.6918795,158,-115.0
1623122787.2010047,167,-167.0
1623123196.249249,178,-83.0
1623123365.083146,183,-169.0
1623123414.6618273,185,-127.0
1623123462.3535404,186,-46.0
1623123622.8801093,190,-232.0
1623123903.9933662,198,-108.0
1623124191.579441,206,-114.0
1623124201.8093238,207,-314.0
1623124391.4214187,212,-66.0
1623124750.4416826,223,-18.0
1623124960.7351437,229,-203.0
1623125173.9543955,234,-20.0
1623125712.538773,249,-85.0
1623125972.10427,255,-63.0
1623126085.7236602,260,-33.0
1623126373.4038715,267,-191.0
1623126494.950987,271,-2.0
1623126624.8663554,273,-115.0
1623127328.858845,292,-108.0
1623127458.7179966,297,-133.0
1623127471.412621,298,-171.0
1623127696.4447103,303,-52.0
1623127820.3162823,308,-54.0
1623127875.9335287,310,-111.0
1623128178.3618867,318,-186.5
1623128208.5431516,319,-272.0
1623128626.074494,330,-198.0
1623128946.7739458,339,-200.0
1623129186.0675645,347,-312.0
1623129759.101966,363,-128.0
1623129886.2323961,367,-65.0
1623130191.6983912,377,-120.0
1623131607.4418507,421,127.0
1623131633.1423914,422,46.0
1623131894.5116165,430,-86.0
1623132193.7975035,439,39.0
1623132240.795979,441,-101.0
1623132280.764821,442,-38.0
1623132373.5702069,445,113.0
1623132594.5024009,451,-12.0
1623132890.8044126,460,-84.0
1623132981.0005312,463,-180.0
1623132996.3126621,464,70.0
1623133312.3128643,474,78.0
1623133931.5630097,491,-76.0
1623134009.6254842,493,-26.0
1623134593.569731,512,72.0
1623134652.2984505,514,-27.0
1623134795.1328912,517,54.0
1623135005.7108212,525,123.0
1623135186.5643086,531,-6.0
1623135234.4865932,533,162.0
1623135357.4166648,536,322.0
1623135527.274985,542,-6.0
1623135673.350064,547,60.0
1623135980.209819,557,82.0
1623136147.8231542,563,177.0
1623136341.2940848,569,78.0
1623136532.8112245,573,-297.0
1623136667.6261854,579,-114.0
1623136771.8919756,581,34.0
1623136859.2002006,584,-137.0
1623136899.1224043,586,-128.0
1623136908.7081366,587,155.0
1623137102.635199,592,72.0
1623137131.2420151,593,108.0
1623137376.0545077,602,-12.0
1623137707.3569763,615,246.0
1623137837.9980965,620,171.0
1623137938.7380347,622,218.0
1623138275.5510955,634,148.0
1623138486.7020242,641,-159.0
1623138524.441053,642,26.0
1623138551.4166498,644,171.0
1623138582.5779226,647,280.0
1623138675.3723152,649,-80.0
1623139022.30723,661,174.0
1623139139.5906255,664,30.0
1623139258.637753,668,225.5
1623139341.3900652,671,63.0
1623139449.3582685,674,214.0
1623139533.2337503,678,337.0
1623139549.5644135,679,195.0
1623139667.8066502,683,380.0
1623139767.8231697,688,222.0
1623140232.084845,706,198.0
1623140411.8473146,714,225.0
1623140498.4415913,718,96.0
1623140611.6303918,722,184.0
1623140628.1319149,723,254.0
1623140795.498949,730,287.0
1623140991.8499098,739,551.0
1623141090.0615265,743,180.0
1623141167.1394637,747,283.0
1623141296.9842734,752,116.0
1623141356.755162,756,232.0
1623141552.6575177,765,255.0
1623141658.3500266,769,201.0
1623141686.575574,770,181.0
1623141696.047668,771,179.0
1623141745.165817,773,163.0
1623141796.8112147,774,65.0
1623141917.0334947,780,368.0
1623141990.3039155,784,51.0
1623142007.9366655,785,42.0
1623142058.4180374,787,289.0
1623142186.732234,792,413.0
1623142195.727737,793,288.0
1623142211.7001686,794,293.0
1623142292.5246458,798,223.0
1623142372.8309445,802,244.0
1623142534.9221578,807,257.0
1623142551.7162971,808,310.0
1623142562.2120183,809,166.0
1623143089.6343143,832,97.0
1623143163.5959702,836,388.0
1623143252.0137212,838,93.0
1623143344.797518,843,341.0
1623143890.3785963,869,138.0
1623143993.5627823,874,293.0
1623144061.6289315,876,258.0
1623144224.1212525,882,273.0
1623144418.1829503,890,338.0
1623144547.5269277,896,282.0
1623144632.7694545,900,147.0
1623144785.5791426,907,280.0
1623144828.899744,909,169.0
1623144979.743068,915,399.0
1623145013.9603894,917,140.0
1623145075.9262562,920,-15.0
1623145111.303103,923,508.0
1623145319.0826988,931,308.0
1623145361.4805148,932,214.0
1623145459.560321,935,157.0
1623145624.1534379,942,112.0
1623145680.8525555,945,254.0
1623145882.832959,954,276.0
1623145983.7540016,958,210.5
1623146049.0824306,961,331.0
1623146072.1152794,962,294.0
1623146275.1115205,971,232.0
1623146293.378911,972,113.0
1623146379.6296978,976,460.0
1623146422.6672935,978,256.0
1623146432.766102,979,418.0
1623146534.9983032,984,423.5
1623146622.6208215,987,307.0
1623146637.7225788,988,389.0
1623146793.8682222,996,539.0
1623146862.1747906,1000,32.0
1623146907.084691,1002,326.0
1623146962.8774252,1005,414.0
1623147196.323285,1014,323.0
1623147260.3367434,1017,493.0
1623147412.155296,1025,364.0
1623147682.1381798,1037,476.0
1623147858.4278831,1044,243.0
1623148116.409579,1057,222.0
1623148232.5294964,1063,190.0
1623148307.6830418,1066,360.0
1623148358.0101209,1068,8.0
1623148470.8605216,1072,178.0
1623148539.142497,1076,504.0
1623148588.1567283,1078,278.5
1623148695.3370001,1083,286.0
1623148715.2160454,1084,358.0
1623148921.4545956,1093,94.0
1623149072.8700325,1099,339.0
1623149185.7304888,1103,217.0
1623149202.0281851,1104,427.0
1623149397.0072603,1114,201.5
1623149519.957634,1119,279.0
1623149821.6031067,1133,304.0
1623150353.360025,1155,386.0
1623150363.5493073,1156,224.0
1623150471.2596712,1160,146.0
1623150510.3661132,1161,237.0
1623150526.0882132,1162,378.0
1623150887.890359,1180,297.0
1623151129.228915,1192,502.0
1623151147.371913,1193,347.0
1623151265.2833037,1199,452.0
1623151318.6236122,1201,290.0
1623151411.2133338,1206,370.0
1623152002.6781514,1232,486.0
1623152039.7501178,1234,370.0
1623152258.2149498,1244,321.0
1623152481.1391914,1255,341.0
1623152571.1031134,1258,360.0
1623152631.4414663,1261,163.0
1623153066.5997949,1281,283.0
1623153183.3566954,1287,56.0
1623153343.1276832,1294,322.0
1623153459.0933876,1300,183.0
1623153655.4566684,1310,408.0
1623153761.7568805,1315,214.0
1623153816.5433555,1316,222.0
1623153905.8924048,1319,213.0
1623154097.279156,1327,338.5
1623154157.4365354,1330,377.0
1623154232.2225223,1333,440.0
1623154303.6660535,1336,562.0
1623154320.4830358,1337,192.0
1623154689.2369618,1355,340.0
1623154997.3544612,1370,324.0
1623155354.7549183,1385,408.0
1623155414.9137592,1388,285.0
1623155425.1546276,1389,477.0
1623155464.1863208,1391,367.0
1623155511.0183346,1392,299.0
1623155993.5852823,1414,434.0
1623156164.547653,1419,344.0
1623156229.7983477,1422,290.0
1623156309.2030115,1426,280.0
1623156345.9153445,1428,447.0
1623156443.9473584,1432,375.0
1623156555.5887308,1436,389.0
1623156646.643707,1440,200.0
1623157186.1052682,1465,255.0
1623157205.384418,1466,578.0
1623157454.0204182,1477,443.0
1623157654.4821491,1485,325.0
1623157672.38861,1486,452.0
1623157724.4931867,1489,266.0
1623157759.077653,1491,486.0
1623157978.9675896,1501,221.0
1623158126.5457225,1508,261.0
1623158448.244697,1523,381.0
1623158467.7206333,1524,427.0
1623158559.527157,1527,491.0
1623159072.1673934,1551,474.0
1623159090.8248026,1552,391.0
1623159131.8835752,1554,38.0
1623159278.4331973,1561,176.0
1623159426.3148847,1568,261.0
1623159464.6601043,1569,380.0
1623159640.8820264,1578,449.0
1623159720.6864517,1582,393.5
1623159786.566429,1584,429.0
1623159836.3071778,1588,368.0
1623160018.5148797,1597,462.0
1623160171.0209484,1604,220.0
1623160188.8480809,1605,473.0
1623160260.668016,1610,200.0
1623160424.5413244,1618,365.0
1623160618.6763136,1627,458.0
