Wall time,Step,Value
1623117452.8778682,5,0.0
1623117822.8761132,18,0.0
1623118067.6518168,24,0.0
1623118616.1493423,40,0.0
1623118650.3463454,42,0.0
1623118700.4019094,45,0.0
1623118986.6562943,53,0.0
1623119064.1813262,56,0.0
1623119626.3900826,71,0.0
1623119688.98992,74,0.0
1623120356.392695,94,0.0
1623120655.6743593,102,0.0
1623120738.461277,105,0.0
1623120768.49531,106,0.0
1623121017.40049,113,0.0
1623121446.4122186,126,0.0
1623121857.5597591,139,0.0
1623122207.1934776,150,0.0
1623122397.5828743,155,0.0
1623122510.6921723,158,0.0
1623122787.2011795,167,0.0
1623123196.2495375,178,0.0
1623123365.0833879,183,0.0
1623123414.6620798,185,0.0
1623123462.353931,186,0.0
1623123622.8805256,190,0.0
1623123903.9935744,198,0.0
1623124191.5796936,206,0.0
1623124201.8095517,207,0.0
1623124391.421601,212,0.0
1623124750.441895,223,0.0
1623124960.735308,229,0.0
1623125173.9546516,234,0.0
1623125712.538905,249,0.0
1623125972.1044757,255,0.0
1623126085.7241702,260,0.0
1623126373.4042184,267,0.0
1623126494.9512472,271,0.0
1623126624.8665676,273,0.0
1623127328.859015,292,0.0
1623127458.718383,297,0.0
1623127471.4129255,298,0.0
1623127696.4448612,303,0.0
1623127820.3165202,308,0.0
1623127875.9337602,310,0.0
1623128178.3622098,318,0.5
1623128208.5435007,319,0.0
1623128626.075454,330,0.0
1623128946.7741957,339,0.0
1623129186.067888,347,0.0
1623129759.103213,363,0.0
1623129886.2326932,367,0.0
1623130191.698602,377,0.0
1623131607.44218,421,1.0
1623131633.1432104,422,1.0
1623131894.511882,430,0.0
1623132193.7976642,439,1.0
1623132240.7962327,441,0.0
1623132280.7651834,442,0.0
1623132373.5705955,445,1.0
1623132594.5026283,451,0.0
1623132890.8045466,460,0.0
1623132981.000877,463,0.0
1623132996.3128662,464,1.0
1623133312.3131819,474,1.0
1623133931.5631897,491,0.0
1623134009.6256893,493,0.0
1623134593.570394,512,1.0
1623134652.2986858,514,0.0
1623134795.1333907,517,1.0
1623135005.7113938,525,1.0
1623135186.5645478,531,0.0
1623135234.486764,533,1.0
1623135357.4168825,536,1.0
1623135527.275147,542,0.0
1623135673.3502505,547,1.0
1623135980.210123,557,1.0
1623136147.8234174,563,1.0
1623136341.294444,569,1.0
1623136532.8113606,573,0.0
1623136667.6264687,579,0.0
1623136771.8922102,581,1.0
1623136859.200495,584,0.0
1623136899.1225336,586,0.0
1623136908.7083995,587,1.0
1623137102.6354275,592,1.0
1623137131.2422338,593,1.0
1623137376.054708,602,0.0
1623137707.3571658,615,1.0
1623137837.9983554,620,1.0
1623137938.738347,622,1.0
1623138275.551378,634,1.0
