Wall time,Step,Value
1623123565.2374542,5,-400.0
1623123971.2081604,15,-428.0
1623124102.786383,18,-242.0
1623124242.726799,24,-271.0
1623124868.735114,40,-130.0
1623124904.2897503,42,-434.0
1623124935.0588381,44,-319.0
1623124948.1274588,45,-352.0
1623125081.8080072,47,-223.0
1623125275.2800066,53,-190.0
1623125401.3524232,56,-239.0
1623125717.7991264,65,-120.0
1623125938.8234756,71,-319.0
1623125987.1722302,72,78.0
1623126014.2397714,73,-139.0
1623126032.1711206,74,-98.0
1623126174.0918427,79,-249.0
1623126436.2284434,87,-239.0
1623126699.8904207,94,-218.0
1623126961.2244105,102,-225.0
1623127105.4530616,105,-189.0
1623127116.459491,106,-293.0
1623127344.2190666,113,-227.0
1623127529.6035435,118,5.0
1623127860.9845893,126,-122.0
1623127938.1985555,130,-61.0
1623128268.610949,139,-52.0
1623128665.1698606,150,-239.0
1623128870.3713217,155,-194.0
1623128920.8776715,158,-200.0
1623129256.79722,167,56.0
1623129272.3583565,168,-74.0
1623129719.0547738,178,39.0
1623129876.008685,183,-104.0
1623129924.3798842,185,-156.0
1623129951.67881,186,-92.0
1623130121.2186415,190,-132.0
1623130384.9373302,198,-145.0
1623130664.3720143,206,143.0
1623130677.7787762,207,69.0
1623130736.2369707,208,-90.0
1623130930.088647,212,60.0
1623131287.0383158,223,-308.0
1623131412.320523,229,-113.0
1623131657.483964,234,-178.0
1623131743.5769286,237,-70.0
1623132170.2066796,249,167.0
1623132355.448602,255,79.0
1623132546.209314,260,59.0
1623132659.6226566,263,65.0
1623132811.8564236,267,61.0
1623132927.872355,271,-238.0
1623132996.0174253,273,-90.0
1623133650.4468617,292,238.0
1623133765.0174508,297,-21.0
1623133842.12212,298,-29.0
1623134023.0132835,303,106.0
1623134158.2020404,308,-172.0
1623134288.2685554,310,93.0
1623134515.4317737,318,13.0
1623134624.6532614,319,56.0
1623134739.1895924,325,-206.0
1623134755.116695,326,179.0
1623134826.5897102,327,175.0
1623134960.8514192,330,248.0
1623135247.3226235,339,-289.0
1623135477.5730455,347,276.0
1623136074.8495443,363,74.0
1623136191.6370192,367,242.0
1623136421.6842322,373,-19.0
1623136521.8079536,377,-178.0
1623136597.5081596,379,0.0
1623137033.0122347,391,20.0
1623137079.7932706,392,63.0
1623137602.193172,408,-51.0
1623137982.4870827,421,92.0
1623138045.6176143,422,-209.0
1623138093.7900422,424,-162.0
1623138294.9846387,430,-145.0
1623138665.9367564,439,59.0
1623138708.0574903,441,-58.0
1623138758.091936,442,17.0
1623138817.559302,445,116.0
1623139072.5287955,451,20.0
1623139360.6138186,460,179.0
1623139445.179892,463,49.0
1623139471.067477,464,-119.0
1623139761.265858,473,145.0
1623139784.46281,474,-73.0
1623140333.9226801,489,-107.0
1623140375.1767128,491,96.0
1623140419.765959,493,-29.0
1623140863.389667,507,198.0
1623141053.6756783,512,34.0
1623141124.0602703,514,35.0
1623141194.4026463,517,-192.0
1623141475.3317606,525,228.0
1623141676.3007157,531,206.0
1623141791.5459795,533,118.0
1623141879.9685879,536,-12.0
1623142076.9019625,542,211.0
