Wall time,Step,Value
1623123565.237747,5,0.0
1623123971.208403,15,0.0
1623124102.7865567,18,0.0
1623124242.727103,24,0.0
1623124868.735347,40,0.0
1623124904.2899406,42,0.0
1623124935.0590987,44,0.0
1623124948.1276581,45,0.0
1623125081.8083396,47,0.0
1623125275.280364,53,0.0
1623125401.3526897,56,0.0
1623125717.7993436,65,0.0
1623125938.8237302,71,0.0
1623125987.1724706,72,1.0
1623126014.240009,73,0.0
1623126032.1712735,74,0.0
1623126174.0921772,79,0.0
1623126436.2292006,87,0.0
1623126699.8907042,94,0.0
1623126961.224814,102,0.0
1623127105.4532716,105,0.0
1623127116.4597173,106,0.0
1623127344.2193298,113,0.0
1623127529.6037476,118,0.5
1623127860.9848402,126,0.0
1623127938.198912,130,0.0
1623128268.6113434,139,0.0
1623128665.1703455,150,0.0
1623128870.3715825,155,0.0
1623128920.8778248,158,0.0
1623129256.7975414,167,1.0
1623129272.3586178,168,0.0
1623129719.0549548,178,1.0
1623129876.008922,183,0.0
1623129924.3801055,185,0.0
1623129951.679013,186,0.0
1623130121.218827,190,0.0
1623130384.9375627,198,0.0
1623130664.372251,206,1.0
1623130677.7793465,207,1.0
1623130736.2372873,208,0.0
1623130930.0889912,212,1.0
1623131287.0387242,223,0.0
1623131412.3207893,229,0.0
1623131657.4844089,234,0.0
1623131743.5772154,237,0.0
1623132170.207085,249,1.0
1623132355.448904,255,1.0
1623132546.2095013,260,1.0
1623132659.6228275,263,1.0
1623132811.8570907,267,1.0
1623132927.8725998,271,0.0
1623132996.017608,273,0.0
1623133650.447435,292,1.0
1623133765.0177279,297,0.0
1623133842.1222563,298,0.0
1623134023.0135202,303,1.0
1623134158.202334,308,0.0
1623134288.2687545,310,1.0
1623134515.4319751,318,1.0
1623134624.653668,319,1.0
1623134739.1898766,325,0.0
1623134755.1169896,326,1.0
1623134826.590346,327,1.0
1623134960.8517199,330,1.0
1623135247.3228657,339,0.0
1623135477.5734797,347,1.0
1623136074.8499134,363,1.0
1623136191.6373127,367,1.0
1623136421.6844666,373,0.0
1623136521.8081958,377,0.0
1623136597.5083563,379,0.0
1623137033.0125937,391,1.0
1623137079.7934766,392,1.0
1623137602.1937544,408,0.0
1623137982.4872358,421,1.0
1623138045.61786,422,0.0
1623138093.7903585,424,0.0
1623138294.9848704,430,0.0
1623138665.9371424,439,1.0
1623138708.057997,441,0.0
1623138758.0921943,442,1.0
1623138817.559561,445,1.0
1623139072.5303957,451,1.0
1623139360.6140656,460,1.0
1623139445.1800807,463,1.0
1623139471.0681705,464,0.0
1623139761.2660565,473,1.0
1623139784.4632912,474,0.0
1623140333.9229794,489,0.0
1623140375.1769907,491,1.0
1623140419.7662148,493,0.0
1623140863.3899913,507,1.0
