Wall time,Step,Value
1623290209.6821046,5,79.0
1623290623.5256138,18,-86.0
1623290760.3056035,24,-130.0
1623291137.9247718,40,26.5
1623291220.1790438,42,181.0
1623291294.080962,45,-124.0
1623291343.8458776,47,-164.0
1623291525.4851115,53,65.0
1623291560.1642337,56,184.0
1623291960.7929838,71,45.0
1623292013.5890455,74,218.0
1623292159.227675,79,228.0
1623292506.1853526,94,125.0
1623292741.7972527,102,37.0
1623292793.1559718,105,119.0
1623292860.8383112,106,258.0
1623293039.6073523,113,433.0
1623293350.2181425,126,430.5
1623293691.052141,139,394.0
1623294002.3095126,150,248.0
1623294071.7644582,155,271.0
1623294172.0011191,158,76.0
1623294445.340472,167,240.0
1623294464.3685668,168,365.0
1623294689.4205227,178,188.5
1623294798.172049,183,260.0
1623294841.1398466,185,451.0
1623294852.7603729,186,513.0
1623294971.4584892,190,376.0
1623295135.0319355,198,597.0
1623295374.8992183,206,397.0
1623295386.1474173,207,344.0
1623295494.033966,212,438.0
1623295805.8398666,223,430.0
1623295962.341215,229,329.0
1623296128.9086723,234,275.0
1623296193.1565971,237,342.0
1623296519.5357428,249,261.0
1623296684.997183,255,261.0
1623296852.0984855,260,426.5
1623297011.8975198,267,260.0
1623297099.482907,271,393.0
1623297153.3542755,273,371.0
1623297580.8778226,292,504.0
1623297744.3596177,297,262.0
1623297793.2065496,298,502.0
1623297892.218407,303,263.0
1623298044.3154666,308,420.0
1623298089.2175992,310,490.0
1623298282.136387,318,219.0
1623298295.4701622,319,513.0
1623298434.8965971,326,491.0
1623298559.533542,330,413.0
1623298823.330438,339,522.0
1623299027.783936,347,429.0
1623299399.3983245,363,478.0
1623299510.6333501,367,562.0
1623299737.2396107,377,382.0
1623299771.6013374,379,706.0
1623300773.1199694,421,297.0
1623300817.164836,422,195.0
1623300847.3210404,424,133.0
1623300989.2267234,430,489.0
1623301205.028092,439,278.0
1623301261.1813223,441,422.0
1623301290.396264,442,360.0
1623301355.0215933,445,532.0
1623301506.004937,451,612.0
1623301711.4423342,460,213.0
1623301790.3936338,463,566.0
1623301812.5848691,464,372.0
1623302068.640177,474,494.0
1623302494.4281259,491,621.0
1623302571.140547,493,478.0
1623302861.0902748,507,470.0
1623302998.8808086,512,361.0
1623303047.349421,514,446.0
1623303103.9141788,517,565.0
1623303265.3226418,525,-50.0
1623303437.0524983,531,551.0
1623303474.8963714,533,306.0
1623303576.6468577,536,693.0
1623303720.2878752,542,418.0
1623303824.601378,547,434.0
1623304056.3416624,557,307.0
1623304226.7976043,563,481.0
1623304370.3313587,569,410.0
1623304458.8804119,573,564.0
1623304576.4117937,579,418.0
1623304621.471428,581,580.0
1623304675.4022696,582,652.0
1623304722.303371,584,364.0
1623304754.5264246,586,648.0
1623304764.8636458,587,573.0
1623304891.4496427,592,379.0
1623304910.9136794,593,520.0
1623305098.8240912,602,235.0
1623305237.0876327,608,345.0
1623305271.9085114,610,324.0
1623305388.8844812,615,598.0
1623305496.6580248,620,566.5
1623305566.21982,622,294.0
