Wall time,Step,Value
1623290209.6822746,5,1.0
1623290623.52582,18,0.0
1623290760.305852,24,0.0
1623291137.925099,40,0.5
1623291220.179325,42,1.0
1623291294.0811014,45,0.0
1623291343.8464084,47,0.0
1623291525.48544,53,1.0
1623291560.1644173,56,1.0
1623291960.793387,71,1.0
1623292013.5895345,74,1.0
1623292159.2278876,79,1.0
1623292506.185567,94,1.0
1623292741.7977545,102,1.0
1623292793.1563838,105,1.0
1623292860.8385324,106,1.0
1623293039.6075912,113,1.0
1623293350.218429,126,1.0
1623293691.052473,139,1.0
1623294002.3097677,150,1.0
1623294071.7646759,155,1.0
1623294172.001309,158,1.0
1623294445.3406863,167,1.0
1623294464.3688514,168,1.0
1623294689.4208865,178,0.5
1623294798.1722884,183,1.0
1623294841.140164,185,1.0
1623294852.7609622,186,1.0
1623294971.4586973,190,1.0
1623295135.032105,198,1.0
1623295374.8994875,206,1.0
1623295386.1477964,207,1.0
1623295494.0343695,212,1.0
1623295805.8403301,223,1.0
1623295962.3413785,229,1.0
1623296128.9090626,234,1.0
1623296193.1570735,237,1.0
1623296519.5360243,249,1.0
1623296684.9975522,255,1.0
1623296852.098715,260,1.0
1623297011.8978107,267,1.0
1623297099.483207,271,1.0
1623297153.3545496,273,1.0
1623297580.8781583,292,1.0
1623297744.3599217,297,1.0
1623297793.206742,298,1.0
1623297892.2189972,303,1.0
1623298044.315682,308,1.0
1623298089.2177787,310,1.0
1623298282.1365159,318,1.0
1623298295.4704568,319,1.0
1623298434.8969357,326,1.0
1623298559.533834,330,1.0
1623298823.3306234,339,1.0
1623299027.784278,347,1.0
1623299399.3986928,363,1.0
1623299510.633578,367,1.0
1623299737.2397804,377,1.0
1623299771.6017218,379,1.0
1623300773.1201878,421,1.0
1623300817.1650772,422,1.0
1623300847.32126,424,1.0
1623300989.2269866,430,1.0
1623301205.02824,439,1.0
1623301261.1816218,441,1.0
1623301290.3964932,442,1.0
1623301355.0221546,445,1.0
1623301506.005241,451,1.0
1623301711.4425514,460,1.0
1623301790.3938644,463,1.0
1623301812.5851207,464,1.0
1623302068.6404212,474,1.0
1623302494.4285936,491,1.0
1623302571.1406865,493,1.0
1623302861.0905912,507,1.0
1623302998.88102,512,1.0
1623303047.3498206,514,1.0
1623303103.9144256,517,1.0
1623303265.330355,525,0.0
1623303437.0526588,531,1.0
1623303474.8964975,533,1.0
1623303576.6470034,536,1.0
1623303720.2880704,542,1.0
1623303824.6017065,547,1.0
1623304056.3419142,557,1.0
1623304226.7979429,563,1.0
1623304370.331598,569,1.0
1623304458.880778,573,1.0
1623304576.412077,579,1.0
1623304621.471575,581,1.0
1623304675.4026139,582,1.0
1623304722.3036716,584,1.0
1623304754.527108,586,1.0
1623304764.8638494,587,1.0
1623304891.4499543,592,1.0
1623304910.9141204,593,1.0
1623305098.8243444,602,1.0
1623305237.0877905,608,1.0
1623305271.908736,610,1.0
1623305388.8847435,615,1.0
1623305496.658391,620,1.0
1623305566.2199662,622,1.0
1623305851.0263076,634,1.0
1623306036.9944494,641,1.0
1623306069.8170273,642,1.0
1623306129.163441,644,1.0
1623306166.0715458,646,1.0
1623306205.1038208,647,1.0
1623306243.3603377,649,1.0
1623306516.0217183,661,1.0
1623306598.7479002,664,1.0
1623306664.7521868,668,1.0
1623306752.067846,671,1.0
1623306812.6221642,674,1.0
1623306921.6396022,678,1.0
1623306941.4840174,679,1.0
1623307033.6131465,683,1.0
1623307142.9668162,688,1.0
1623307465.6894677,699,1.0
1623307576.358538,703,1.0
1623307612.5768263,706,1.0
1623307831.5164773,714,1.0
1623307938.5025747,718,1.0
1623307985.0771031,721,1.0
1623307999.0412445,722,1.0
1623308023.189613,723,1.0
1623308210.006022,730,1.0
1623308361.252671,736,1.0
1623308396.5895176,738,1.0
1623308407.2004447,739,1.0
1623308495.4736457,743,1.0
1623308583.618242,747,1.0
1623308687.6940205,751,1.0
1623308711.603813,752,1.0
1623308773.8079894,756,1.0
1623308981.1986928,765,1.0
1623309074.0778666,769,1.0
1623309112.176416,770,1.0
1623309148.2855124,771,1.0
1623309186.493685,773,1.0
1623309208.5979204,774,1.0
1623309372.7950096,780,1.0
1623309445.0811732,784,1.0
1623309463.6213636,785,1.0
1623309525.744772,787,1.0
1623309565.837611,789,1.0
1623309604.051994,792,1.0
1623309614.738953,793,1.0
1623309651.363096,794,1.0
1623309762.0015278,798,1.0
1623309812.8398395,802,1.0
1623309980.1906817,807,1.0
1623309999.1095407,808,1.0
1623310012.0960639,809,1.0
1623310223.7071292,815,1.0
1623310608.8559785,832,1.0
1623310735.0447078,836,1.0
1623310771.93748,838,1.0
1623310897.3013246,843,1.0
1623311478.0397313,867,1.0
1623311516.0470343,869,1.0
1623311671.4477894,874,1.0
1623311699.8687234,876,1.0
1623311793.9052548,880,1.0
1623311843.5521445,882,1.0
