Wall time,Step,Value
1623430148.6241772,5,280.0
1623430535.1117592,18,-273.0
1623430718.3009508,24,-418.0
1623431094.5957572,40,-215.0
1623431124.581646,42,282.0
1623431233.4306881,45,250.0
1623431425.0174532,53,-157.0
1623431503.9509294,56,380.0
1623431842.5456553,71,183.5
1623431930.210679,74,102.0
1623432388.8512695,94,224.0
1623432564.8508627,102,304.0
1623432641.987038,105,49.0
1623432663.5577323,106,159.5
1623432820.2012289,113,77.0
1623433100.447803,126,330.0
1623433382.5101078,139,374.0
1623433639.3541598,150,158.0
1623433719.1827393,155,97.0
1623433804.0865088,158,214.0
1623434014.9987202,167,238.0
1623434031.6086736,168,503.5
1623434257.543908,178,492.0
1623434360.582207,183,197.0
1623434412.5044699,185,444.0
1623434460.6478305,186,-16.0
1623434528.8120341,190,575.0
1623434690.4187968,198,372.0
1623434859.4655938,206,511.0
1623434873.3887515,207,460.0
1623434959.263188,212,162.0
1623435217.4710917,223,272.0
1623435341.8386018,229,695.0
1623435446.426745,234,411.0
1623435518.0338264,237,418.0
1623435781.5957856,249,478.0
1623435950.5012705,255,335.0
1623436091.940311,260,407.0
1623436193.9198165,267,491.0
1623436295.0723302,271,594.0
1623436325.1624897,273,427.0
1623436743.3881001,292,570.0
1623436884.3341284,297,648.0
1623436899.476262,298,650.0
1623437049.4638324,303,635.0
1623437130.0438986,308,602.5
1623437198.3448565,310,402.0
1623437378.5632432,318,227.0
1623437411.8143394,319,465.0
1623437629.74616,330,367.0
1623437836.0941606,339,452.0
1623438000.0682151,347,706.0
1623438313.0305452,363,485.0
1623438409.7865329,367,660.0
1623438640.4049342,377,861.0
1623439614.7310967,421,484.0
1623439629.1855974,422,445.0
1623439832.876285,430,631.0
1623440060.3620038,439,718.0
1623440098.3881047,441,437.0
1623440177.237167,442,371.0
1623440209.0988746,445,782.0
1623440375.9805892,451,395.0
1623440553.3595624,460,291.0
1623440592.133137,463,727.0
1623440609.082168,464,367.0
1623440831.622504,474,686.0
1623441200.818485,491,719.0
1623441238.0486639,493,655.0
1623441713.9726565,512,938.0
1623441748.7150269,514,323.0
1623441781.5199897,517,545.0
1623441952.935107,525,606.0
1623442071.052643,531,386.0
1623442116.3139281,533,719.0
1623442215.339415,536,590.0
1623442322.5809388,542,325.0
1623442456.5340908,547,551.0
1623442672.852906,557,539.0
1623442827.6211493,563,57.0
1623442964.1436925,569,504.0
1623443081.6690269,573,761.0
1623443225.174984,579,422.0
1623443288.1820495,581,787.0
1623443331.5520918,584,815.0
1623443355.7012277,586,710.0
1623443382.685468,587,450.0
1623443537.5436513,592,305.0
1623443556.913774,593,609.0
